date,DPCERY,A006RY,A822RY,A019RY,A191RL,label
2023-01-01,3.27,-1.63,0.84,0.33,2.8,Q1 \\ 2023
2023-04-01,0.65,1.42,0.48,-0.11,2.4,Q2
2023-07-01,1.72,1.8,0.94,-0.1,4.4,Q3
2023-10-01,2.33,0.16,0.61,0.09,3.2,Q4
2024-01-01,1.3,0.64,0.3,-0.61,1.6,Q1 \\ 2024
2024-04-01,1.9,1.47,0.52,-0.9,3.0,Q2
2024-07-01,2.48,0.16,0.86,-0.43,3.1,Q3
2024-10-01,2.7,-1.03,0.52,0.26,2.4,Q4
2025-01-01,0.31,3.9,-0.1,-4.61,-0.5,Q1 \\ 2025
2025-04-01,1.0055207497229532,-2.311028002255274,0.37010473420850565,3.3140620335480078,2.378659515224224,Q2
