date,Assets,NFA,Net Worth,Liabilities,DPI,Liab2,FA
1989-01-01,598.3463,232.5339,517.7537,80.5926,100.0,-80.5926,365.8124
1989-04-01,605.1563,234.5489,523.175,81.9813,100.0,-81.9813,370.6074
1989-07-01,612.9956,237.6039,529.957,83.0386,100.0,-83.0386,375.3916
1989-10-01,614.6414,237.1908,530.9379,83.7035,100.0,-83.7035,377.4506
1990-01-01,603.6015,233.164,520.1397,83.4618,100.0,-83.4618,370.4375
1990-04-01,602.2585,231.6757,518.4555,83.803,100.0,-83.803,370.5828
1990-07-01,592.9906,231.1602,508.7916,84.199,100.0,-84.199,361.8304
1990-10-01,601.8854,230.1948,516.5938,85.2916,100.0,-85.2916,371.6906
1991-01-01,608.8906,228.9255,523.7162,85.1744,100.0,-85.1744,379.9651
1991-04-01,604.4269,227.5511,518.8844,85.5424,100.0,-85.5424,376.8758
1991-07-01,606.4723,226.7088,520.8981,85.5742,100.0,-85.5742,379.7635
1991-10-01,611.7319,224.5618,525.6079,86.124,100.0,-86.124,387.1701
1992-01-01,597.0246,220.3868,512.6241,84.4005,100.0,-84.4005,376.6377
1992-04-01,590.9651,218.2554,506.9787,83.9864,100.0,-83.9864,372.7097
1992-07-01,594.0184,218.5074,509.5204,84.4981,100.0,-84.4981,375.511
1992-10-01,601.0633,218.064,516.0231,85.0402,100.0,-85.0402,382.9993
1993-01-01,602.189,216.5572,517.8102,84.3788,100.0,-84.3788,385.6318
1993-04-01,603.4809,217.2447,518.5546,84.9263,100.0,-84.9263,386.2363
1993-07-01,610.7187,219.1194,524.4941,86.2245,100.0,-86.2245,391.5993
1993-10-01,613.7759,219.3472,526.7816,86.9943,100.0,-86.9943,394.4287
1994-01-01,611.158,219.3398,524.3932,86.7648,100.0,-86.7648,391.8182
1994-04-01,607.4511,218.946,520.366,87.0851,100.0,-87.0851,388.5051
1994-07-01,608.7648,218.973,521.1054,87.6593,100.0,-87.6593,389.7918
1994-10-01,603.8133,216.8785,515.5437,88.2696,100.0,-88.2696,386.9347
