date,DPIpc,RPIe,fillval,label
2023-10-01,4.336859235150525,2.7675954457190732,0.1,Oct
2023-11-01,4.672289401483587,3.318999765846131,0.1,
2023-12-01,4.510304060893144,3.315459086883865,0.1,
2024-01-01,3.015075376884413,2.642706748797896,0.1,Jan\\2024
2024-02-01,2.5717561477030193,2.3998674081766813,0.1,
2024-03-01,2.076532819443888,1.983874575248401,0.1,
2024-04-01,1.9694083920752448,1.7993725100300395,0.1,Apr
2024-05-01,2.020478884820953,1.9801626168631792,0.1,
2024-06-01,2.109671611413355,1.8161624948792365,0.1,
2024-07-01,1.8745846201962513,1.523962275734525,0.1,Jul
2024-08-01,1.8188567186339988,1.461683070757669,0.1,
2024-09-01,1.909657747112048,1.4115178096406167,0.1,
2024-10-01,1.8287452234266643,1.2562844087058433,0.1,Oct
2024-11-01,1.5921093507300421,1.0654863273569237,0.1,
2024-12-01,1.4004571340022531,0.9058645879999494,0.1,
2025-01-01,1.0180275715800713,1.1233470620032104,0.1,Jan\\2025
2025-02-01,1.0483917593324232,0.889111052578917,0.1,
2025-03-01,1.6335966095164745,1.4136878077307014,0.1,
2025-04-01,2.133559269814378,1.374148896527716,0.1,Apr
2025-05-01,0.8866030820011916,0.5151838820088628,0.1,
2025-06-01,0.6037258509659527,0.1884233556720405,0.1,
2025-07-01,0.9421110194370419,0.4419449620250093,0.1,Jul
2025-08-01,0.9939175317075,0.32636726553396667,0.1,
2025-09-01,0.9532394798419608,0.36578700318272706,0.1,
