date,Full,Age1829
1989-03-01,16.1778,39.8857
1989-04-01,16.1184,39.8216
1989-05-01,16.0871,39.8455
1989-06-01,16.1152,40.103
1989-07-01,16.1762,40.3287
1989-08-01,16.1679,40.5285
1989-09-01,16.0849,40.3699
1989-10-01,16.0162,40.1404
1989-11-01,16.0093,40.0598
1989-12-01,16.0513,40.1262
1990-01-01,16.2612,40.6466
1990-02-01,16.4056,40.9253
1990-03-01,16.5726,41.2175
1990-04-01,16.5555,41.2303
1990-05-01,16.5562,41.2148
1990-06-01,16.5432,41.2265
1990-07-01,16.541,41.2123
1990-08-01,16.5178,41.1865
1990-09-01,16.5032,41.1843
1990-10-01,16.5133,41.1575
1990-11-01,16.5516,41.3084
1990-12-01,16.5787,41.3659
1991-01-01,16.5599,41.4605
1991-02-01,16.5387,41.4963
1991-03-01,16.5695,41.5955
1991-04-01,16.5936,41.8529
1991-05-01,16.599,41.8682
1991-06-01,16.5217,41.7777
1991-07-01,16.4694,41.5157
1991-08-01,16.3863,41.3984
1991-09-01,16.3983,41.5776
1991-10-01,16.4498,41.8533
1991-11-01,16.5337,42.2255
1991-12-01,16.5642,42.3461
1992-01-01,16.5279,42.2679
1992-02-01,16.5364,42.1345
1992-03-01,16.5059,42.0509
1992-04-01,16.5266,42.2874
1992-05-01,16.523,42.4501
1992-06-01,16.4992,42.5033
1992-07-01,16.4687,42.3046
1992-08-01,16.4502,42.2142
1992-09-01,16.4945,42.4254
1992-10-01,16.5076,42.6103
1992-11-01,16.4853,42.7323
1992-12-01,16.4408,42.6733
1993-01-01,16.3891,42.4888
1993-02-01,16.3236,42.2472
1993-03-01,16.2605,42.0213
1993-04-01,16.2023,41.9299
1993-05-01,16.1933,41.9799
1993-06-01,16.1843,41.9704
1993-07-01,16.1922,42.0246
1993-08-01,16.1389,41.9321
1993-09-01,16.0676,41.7949
1993-10-01,15.9847,41.6606
1993-11-01,15.9337,41.6322
1993-12-01,15.9276,41.8203
1994-01-01,16.0036,42.1854
1994-02-01,16.0984,42.4253
1994-03-01,16.1727,42.5922
1994-04-01,16.1747,42.4415
1994-05-01,16.1619,42.422
1994-06-01,16.1782,42.367
1994-07-01,16.2141,42.394
1994-08-01,16.2293,42.3475
1994-09-01,16.1753,42.1451
1994-10-01,16.1291,41.9975
1994-11-01,16.0681,41.7505
1994-12-01,16.0247,41.6373
1995-01-01,15.9349,41.4971
1995-02-01,15.8772,41.6084
1995-03-01,15.835,41.6118
1995-04-01,15.8444,41.7006
1995-05-01,15.8278,41.5482
1995-06-01,15.8728,41.6804
1995-07-01,15.8812,41.7254
1995-08-01,15.9456,42.0282
1995-09-01,15.9823,42.1324
1995-10-01,15.9853,42.0471
1995-11-01,16.0079,42.1086
1995-12-01,15.9708,41.8732
1996-01-01,15.9895,41.9033
1996-02-01,15.9566,41.5507
1996-03-01,15.9601,41.532
1996-04-01,15.9202,41.4152
1996-05-01,15.8528,41.3745
1996-06-01,15.8087,41.4919
1996-07-01,15.81,41.6115
1996-08-01,15.8699,41.8674
1996-09-01,15.9115,41.9094
1996-10-01,15.9038,41.8709
1996-11-01,15.8641,41.632
1996-12-01,15.8048,41.1963
1997-01-01,15.8634,41.1845
1997-02-01,15.9508,41.339
1997-03-01,16.0747,41.8265
1997-04-01,16.1623,42.2109
1997-05-01,16.1837,42.3969
1997-06-01,16.1403,42.3006
1997-07-01,16.0485,41.9845
1997-08-01,16.0078,41.8303
1997-09-01,16.0104,41.8379
1997-10-01,16.0184,41.8583
1997-11-01,16.0074,41.9464
1997-12-01,16.0477,42.1441
1998-01-01,16.0357,42.177
1998-02-01,16.0429,42.2482
1998-03-01,15.9778,42.208
1998-04-01,15.9751,42.2979
1998-05-01,15.9801,42.1789
1998-06-01,16.0136,42.0287
1998-07-01,16.0604,42.0172
1998-08-01,16.0481,41.9652
1998-09-01,16.0213,41.8885
1998-10-01,15.9743,41.849
1998-11-01,15.9908,42.0054
1998-12-01,16.029,42.344
1999-01-01,16.051,42.573
1999-02-01,16.0725,42.7319
1999-03-01,16.0785,42.7313
1999-04-01,16.1111,42.6918
1999-05-01,16.1369,42.681
