date,Owner,Renter,Vacant
2000-01-01,,,
2000-04-01,68752,33522,13773
2000-07-01,69695,33201,13586
2000-10-01,70010,33635,13268
2001-01-01,69904,33552,13891
2001-04-01,69981,33430,14375
2001-07-01,71004,33223,13988
2001-10-01,71230,33468,13937
2002-01-01,71011,33707,14342
2002-04-01,71157,34119,14207
2002-07-01,71713,33813,14383
2002-10-01,72187,33572,14591
2003-01-01,71967,33917,14908
2003-04-01,72088,33901,15244
2003-07-01,72565,33503,15614
2003-10-01,73091,33414,15654
2004-01-01,73258,33479,15895
2004-04-01,74107,32913,16079
2004-07-01,74503,33429,15656
2004-10-01,75233,33502,15361
2005-01-01,75251,33612,15748
2005-04-01,74797,34260,16061
2005-07-01,75480,34256,15883
2005-10-01,76119,34162,15823
2006-01-01,75593,34757,16234
2006-04-01,75972,34588,16513
2006-07-01,76420,34359,16769
2006-10-01,76544,34552,16894
2007-01-01,75683,35031,17724
2007-04-01,75952,35390,17547
2007-07-01,75815,35436,18049
2007-10-01,75720,36003,17910
2008-01-01,75467,35859,18642
2008-04-01,75951,35650,18701
2008-07-01,76019,35920,18651
2008-10-01,75465,36358,18973
2009-01-01,75252,36610,19137
2009-04-01,75809,36644,18752
2009-07-01,75942,36439,18996
2009-10-01,75537,36948,19006
2010-01-01,75480,37020,19126
2010-04-01,75417,37309,19022
2010-07-01,75533,37409,18933
2010-10-01,75417,38029,18551
2011-01-01,75097,38021,18998
2011-04-01,74710,38687,18843
2011-07-01,75257,38303,18803
2011-10-01,75325,38778,18389
2012-01-01,74616,39530,18476
2012-04-01,74851,39377,18519
2012-07-01,75107,39634,18149
2012-10-01,75270,39854,17939
2013-01-01,74600,40178,18459
2013-04-01,74907,40337,18165
2013-07-01,75319,40097,18177
2013-10-01,75429,40284,18087
2014-01-01,74916,40636,18453
2014-04-01,75017,40976,18219
2014-07-01,74846,41407,18170
2014-10-01,75271,42416,16956
2015-01-01,74729,42631,17502
2015-04-01,74672,43029,17379
2015-07-01,75029,42770,17510
2015-10-01,75507,42758,17288
2016-01-01,74991,43047,17758
2016-04-01,74726,44045,17268
2016-07-01,75678,43451,17160
2016-10-01,75976,43251,17328
2017-01-01,75958,43475,17384
2017-04-01,76064,43383,17637
2017-07-01,76520,43150,17684
2017-10-01,77592,43230,16814
2018-01-01,77414,43249,17258
2018-04-01,77854,43289,17060
2018-07-01,78042,43225,17221
2018-10-01,79318,43079,16382
2019-01-01,78532,43723,16814
2019-04-01,78442,43887,17031
2019-07-01,79421,43196,17038
2019-10-01,80615,43233,16113
2020-01-01,81205,43094,15967
2020-04-01,85982,40718,13872
2020-07-01,85403,41233,14242
2020-10-01,82778,42971,15434
2021-01-01,82578,43366,15590
2021-04-01,82511,43644,15639
2021-07-01,82948,43967,15185
2021-10-01,83478,43952,14975
