date,M1_N.M,M2_N.M,MCU_N.M,MDD_N.M,MDL_N.M,MDTS_N.M,MMFGB_N.M,MIKD_N.M,MIKM_N.M,MIK_N.M,M1.M,M2.M,MCU.M,MDD.M,MDL.M,MDTS.M,MMFGB.M,RESMOC14A_N.M,RESMOB14A_N.M,RESMO14A_N.M,RESTR14A_N.M,RESBR14A_N.M,RESNB14A_N.M,MDO_N.M,MDU_N.M,MTC_N.M,MDO.M,MDU.M,MTC.M
1987-01-01,737.1,2753.5,180.6,305.6,,858.9,205.2,172.6,15.2,187.9,730.2,2743.9,181.9,299.6,,855.9,205.7,208.0,38.9,247.0,59.6,579.9,59.1,245.2,952.3,5.7,242.5,952.1,6.1
1987-02-01,717.1,2735.2,181.3,287.1,,854.4,207.0,174.3,15.5,189.8,730.7,2747.5,183.3,296.1,,852.2,205.5,206.5,36.0,242.5,57.0,556.4,56.5,242.7,956.8,5.9,245.0,959.2,6.3
1987-03-01,723.1,2748.0,182.7,286.8,,850.2,208.3,176.6,15.8,192.4,733.8,2753.7,184.0,295.3,,850.1,205.4,207.4,37.4,244.8,57.1,527.4,56.5,247.7,966.4,6.1,248.1,964.5,6.3
1987-04-01,752.0,2778.9,184.6,301.0,,846.6,208.4,180.5,16.3,196.8,743.9,2767.7,185.3,299.0,,847.9,205.7,209.6,40.0,249.6,59.4,992.8,58.4,260.3,971.9,6.1,253.2,970.2,6.3
1987-05-01,739.3,2759.7,186.8,293.9,,843.9,206.3,183.1,17.0,200.1,745.8,2772.9,186.5,298.5,,847.4,206.9,212.0,38.6,250.6,58.3,1035.4,57.3,252.4,970.2,6.2,254.5,972.7,6.4
1987-06-01,743.8,2773.4,188.4,294.3,,851.2,206.7,185.4,17.7,203.1,743.2,2774.6,187.6,294.2,,853.9,207.8,214.4,38.4,252.9,58.8,776.4,58.0,254.5,971.6,6.7,255.0,969.7,6.4
1987-07-01,746.2,2785.2,190.3,294.1,,862.8,206.5,186.8,18.4,205.2,743.0,2779.0,188.7,292.1,,862.2,207.9,216.4,38.4,254.8,58.9,672.3,58.2,254.5,969.8,7.3,255.7,966.0,6.5
1987-08-01,744.2,2787.5,190.7,290.2,,870.2,209.3,187.7,18.9,206.6,744.9,2788.2,190.0,290.8,,870.0,210.4,217.0,37.6,254.6,58.3,647.2,57.7,255.8,963.9,7.4,257.5,962.9,6.6
1987-09-01,744.5,2793.3,190.7,288.8,,877.4,212.6,188.8,19.5,208.2,747.6,2799.5,191.4,290.3,,877.8,213.7,217.6,38.6,256.3,59.8,940.1,58.8,257.8,958.8,7.1,259.2,960.4,6.7
1987-10-01,753.2,2811.2,192.4,295.4,,890.5,214.7,190.0,20.0,210.0,756.2,2814.8,193.1,295.3,,889.7,215.9,218.8,39.4,258.1,61.1,942.8,60.1,258.8,952.8,6.6,261.3,953.0,6.6
1987-11-01,755.5,2821.6,195.7,293.9,,908.5,215.7,191.6,20.7,212.3,753.2,2818.9,195.2,291.1,,908.1,216.1,223.0,39.3,262.4,61.2,624.8,60.6,259.7,941.9,6.2,260.3,941.4,6.6
