date,bd_cps,3ma,wk,wk3ma,zwc
1997-01-01,4.4717607498168945,,4.982572555541992,,
1997-02-01,4.548496246337891,,5.069774627685547,,
1997-03-01,4.733514785766602,4.584590593973796,4.742312431335449,4.931553204854329,11.784938165942675
1997-04-01,4.651165008544922,4.644392013549805,5.263161659240723,5.025082906087239,12.011926167110936
1997-05-01,4.347825050354004,4.577501614888509,4.545342922210693,4.850272337595622,11.692882236743364
1997-06-01,5.1764607429504395,4.725150267283122,5.798941612243652,5.2024820645650225,11.470536413923364
1997-07-01,5.1489410400390625,4.891075611114502,5.313533782958984,5.21927277247111,11.35611042827731
1997-08-01,4.644334316253662,4.989912033081055,5.033391952514648,5.381955782572429,11.551628825283283
1997-09-01,4.761910438537598,4.851728598276774,4.761910438537598,5.03627872467041,11.572295910154489
1997-10-01,4.894542694091797,4.7669291496276855,5.046725273132324,4.94734255472819,11.479361274502784
1997-11-01,4.965096473693848,4.873849868774414,4.999995231628418,4.93621031443278,11.179334652210608
1997-12-01,5.189335346221924,5.0163248380025225,6.170976161956787,5.405898888905843,11.573099586538914
1998-01-01,4.856669902801514,5.003700574239095,5.552596092224121,5.574522495269775,11.660275233384871
1998-02-01,4.585671424865723,4.877225557963054,4.894804954528809,5.539459069569905,11.871790094116527
1998-03-01,4.987096786499023,4.809812704722087,4.70656156539917,5.051320870717366,11.432285314552162
1998-04-01,5.555558204650879,5.042775472005208,6.122880935668945,5.241415818532308,11.128510075256651
1998-05-01,5.555558204650879,5.366071065266927,6.034493446350098,5.621311982472737,10.783748039645262
1998-06-01,5.714285373687744,5.608467260996501,6.078433990478516,6.0786027908325195,11.058228266697357
1998-07-01,5.461537837982178,5.577127138773601,6.185567378997803,6.099498271942139,11.088529373120615
1998-08-01,5.200004577636719,5.458609263102214,5.264377593994141,5.842792987823486,11.233622654598207
1998-09-01,4.818511009216309,5.160017808278401,5.309092998504639,5.58634599049886,11.203525308666906
1998-10-01,4.999995231628418,5.006170272827148,5.264377593994141,5.279282728830974,11.276895563099949
1998-11-01,4.999995231628418,4.939500490824382,5.769228935241699,5.447566509246826,11.583491331740703
1998-12-01,5.000007152557373,4.999999205271403,5.0996599197387695,5.377755482991536,11.608315848090642
1999-01-01,4.999995231628418,4.999999205271403,5.262947082519531,5.377278645833333,11.578526198760352
1999-02-01,5.262965202331543,5.087655862172444,5.4232892990112305,5.261965433756511,10.834115629654661
1999-03-01,5.882358551025391,5.381772994995117,6.333642959594727,5.673293113708496,10.235417946674518
1999-04-01,4.881829261779785,5.342384338378906,5.55574893951416,5.770893732706706,10.53601313690052
1999-05-01,5.263161659240723,5.3424498240153,5.882358551025391,5.923916816711426,10.77642899135146
1999-06-01,4.761910438537598,4.968967119852702,5.011928081512451,5.483345190684001,10.776542212388051
1999-07-01,5.054843425750732,5.026638507843018,6.025737762451172,5.640008131663005,10.51270226337826
1999-08-01,4.761904716491699,4.85955286026001,4.999828338623047,5.345831394195557,10.664949062982922
1999-09-01,5.493950843811035,5.103566328684489,5.814564228057861,5.61337677637736,11.269824811494578
1999-10-01,5.353790283203125,5.20321528116862,5.745935440063477,5.520109335581462,11.232088435175521
1999-11-01,5.189174652099609,5.345638593037923,6.060600280761719,5.873699982961019,11.142931798911652
1999-12-01,5.042016506195068,5.194993813832601,5.76322078704834,5.856585502624512,10.932488795882337
2000-01-01,4.999804496765137,5.0769985516866045,5.714070796966553,5.845963954925537,11.233869693832164
2000-02-01,4.999911785125732,5.0139109293619795,6.237697601318359,5.904996395111084,11.173333919010673
2000-03-01,4.999846458435059,4.9998542467753095,4.992466926574707,5.648078441619873,10.864818984191373
2000-04-01,4.976952075958252,4.992236773173015,5.387997627258301,5.539387385050456,10.726931009195356
2000-05-01,4.958951473236084,4.978583335876465,5.012565612792969,5.131010055541992,10.941087398820232
2000-06-01,5.428576469421387,5.121493339538574,5.882358551025391,5.427640597025554,11.454655926002621
2000-07-01,5.433499813079834,5.273675918579102,5.042016506195068,5.312313556671143,11.379745680214164
2000-08-01,5.263161659240723,5.375079313913981,5.264377593994141,5.3962508837382,11.555170575692964
2000-09-01,5.555558204650879,5.4174065589904785,6.04478120803833,5.45039176940918,11.29587076697455
2000-10-01,5.4718732833862305,5.430197715759277,5.882358551025391,5.73050578435262,11.050908371629012
2000-11-01,5.555558204650879,5.527663230895996,5.263924598693848,5.7303547859191895,10.37344883254539
2000-12-01,5.263161659240723,5.430197715759277,5.2977800369262695,5.481354395548503,10.3989923555088
2001-01-01,5.378150939941406,5.398956934611003,5.5016279220581055,5.354444185892741,10.70159638458293
2001-02-01,5.546921730041504,5.396078109741211,5.460095405578613,5.419834454854329,10.90035054943879
2001-03-01,5.263161659240723,5.396078109741211,5.659592151641846,5.5404384930928545,10.930473974700101
2001-04-01,5.50997257232666,5.440018653869629,5.5120110511779785,5.5438995361328125,10.555326620147712
2001-05-01,4.761910438537598,5.178348223368327,4.983818531036377,5.385140577952067,10.998473171378231
2001-06-01,5.625796318054199,5.299226442972819,5.882143974304199,5.4593245188395185,10.965562227358246
2001-07-01,5.131268501281738,5.172991752624512,5.036073684692383,5.300678730010986,11.197484534488696
2001-08-01,5.386912822723389,5.381325880686442,6.153589248657227,5.6906023025512695,11.072688163677325
2001-09-01,4.989159107208252,5.169113477071126,5.210912227630615,5.466858386993408,10.924749850687114
2001-10-01,5.2896857261657715,5.221919218699138,5.263161659240723,5.5425543785095215,11.091932129091909
2001-11-01,4.931789398193359,5.070211410522461,4.355728626251221,4.9432675043741865,11.144719982049883
2001-12-01,5.096077919006348,5.105851014455159,5.264377593994141,4.961089293162028,11.808020503372175
2002-01-01,4.999995231628418,5.009287516276042,4.858279228210449,4.8261284828186035,11.989059869308436
2002-02-01,4.55607795715332,4.884050369262695,4.41005802154541,4.84423828125,12.183643372642612
2002-03-01,4.600172996520996,4.718748728434245,4.54537296295166,4.604570070902507,12.159349967832972
2002-04-01,4.097557067871094,4.417936007181804,4.166519641876221,4.373983542124431,12.139330425324836
2002-05-01,4.562801361083984,4.420177141825358,5.116552352905273,4.609481652577718,12.179422197766728
2002-06-01,3.9999961853027344,4.2201182047526045,4.166579246520996,4.483217080434163,12.246037512097482
2002-07-01,4.083847999572754,4.215548515319824,3.977447748184204,4.420193115870158,12.552460679731988
2002-08-01,4.083263874053955,4.0557026863098145,3.8888931274414062,4.010973374048869,12.743891680018228
2002-09-01,3.846156597137451,4.004422823588054,4.028356075286865,3.9648989836374917,12.771135291788113
2002-10-01,3.846001625061035,3.925140698750814,4.166662693023682,4.027970631917317,13.124465105929561
2002-11-01,3.341662883758545,3.6779403686523438,4.0019989013671875,4.065672556559245,13.382026042135072
2002-12-01,3.9224743843078613,3.7033796310424805,4.000914096832275,4.056525230407715,13.482156747887972
2003-01-01,4.166060447692871,3.8100659052530923,4.379940032958984,4.1276176770528155,12.93776629862972
2003-02-01,3.845500946044922,3.9780119260152182,4.011070728302002,4.130641619364421,12.362328758158938
2003-03-01,3.22917103767395,3.746910810470581,3.1501591205596924,3.8470566272735596,12.507543353006023
2003-04-01,3.5501480102539062,3.5416066646575928,3.375941514968872,3.512390454610189,12.863116595903207
2003-05-01,3.870975971221924,3.5500983397165933,4.000556468963623,3.508885701497396,12.72476734939457
2003-06-01,3.7037014961242676,3.7082751592000327,3.232473134994507,3.5363237063090005,12.799949130710944
2003-07-01,3.773510456085205,3.7827293078104653,3.770780563354492,3.6679367224375405,13.158864195508363
2003-08-01,3.363090753555298,3.6134342352549234,3.5714268684387207,3.5248935222625732,13.619881935937867
2003-09-01,3.4482717514038086,3.5282909870147705,4.008502006530762,3.783569812774658,13.995343223284399
2003-10-01,3.382396697998047,3.3979197343190513,3.6867499351501465,3.7555596033732095,13.78382470357805
2003-11-01,3.124779462814331,3.3184826374053955,3.5550296306610107,3.750093857447306,14.27637159723126
2003-12-01,3.4485220909118652,3.318566083908081,3.8263320922851562,3.689370552698771,14.292998488858153
2004-01-01,3.507053852081299,3.3601184686024985,3.602045774459839,3.6611358324686685,14.162469166959605
2004-02-01,3.4868717193603516,3.480815887451172,3.9999961853027344,3.809458017349243,14.038841027248653
2004-03-01,3.4664154052734375,3.486780325571696,3.5931050777435303,3.731715679168701,13.53769775786504
2004-04-01,3.4482717514038086,3.4671862920125327,4.09090518951416,3.8946688175201416,13.48205483218
2004-05-01,3.6318421363830566,3.515509764353434,4.066336154937744,3.9167821407318115,13.563131405995534
2004-06-01,3.0273735523223877,3.3691624800364175,3.318220376968384,3.825153907140096,14.000483317276165
2004-07-01,3.7983298301696777,3.4858485062917075,4.000401496887207,3.7949860095977783,13.9566569371666
2004-08-01,3.739440441131592,3.5217146078745523,4.166519641876221,3.828380505243937,13.57020361489667
2004-09-01,3.809523582458496,3.7824312845865884,3.749203681945801,3.972041606903076,12.887488243284793
2004-10-01,3.846001625061035,3.7983218828837075,4.166769981384277,4.0274977684021,12.992416148780187
2004-11-01,3.846156597137451,3.8338939348856607,4.651081562042236,4.1890184084574384,12.882637699997057
2004-12-01,3.507763147354126,3.733307123184204,4.000914096832275,4.272921880086263,13.176562364226628
2005-01-01,3.884243965148926,3.7460545698801675,4.000276565551758,4.217424074808757,13.149280803893502
2005-02-01,3.4482717514038086,3.6134262879689536,4.000914096832275,4.0007015864054365,13.437045897483836
2005-03-01,3.4591197967529297,3.5972118377685547,4.117453098297119,4.039547920227051,13.552282444565114
2005-04-01,3.7037014961242676,3.5370310147603354,3.9999961853027344,4.039454460144043,13.129490121120773
2005-05-01,3.9066731929779053,3.689831495285034,4.00010347366333,4.0391842524210615,13.416927602733011
2005-06-01,3.9999961853027344,3.8701236248016357,4.7142863273620605,4.238128662109375,13.340876200236693
2005-07-01,4.237824440002441,4.04816460609436,4.166597366333008,4.293662389119466,13.479163677542617
2005-08-01,4.09921407699585,4.112344900767009,4.166662693023682,4.34918212890625,13.07146220870578
2005-09-01,4.131150245666504,4.156062920888265,4.166662693023682,4.166640917460124,12.993328756167378
2005-10-01,4.166662693023682,4.132342338562012,4.615074157714844,4.316133181254069,12.69620197204236
2005-11-01,4.200142860412598,4.165985266367595,4.999995231628418,4.5939106941223145,12.376510749115964
2005-12-01,3.887796401977539,4.0848673184712725,4.001033306121826,4.538700898488362,12.467890956842687
2006-01-01,4.08635139465332,4.058096885681152,4.545450210571289,4.515492916107178,12.667114337181948
2006-02-01,3.7035584449768066,3.892568747202555,3.7035703659057617,4.083351294199626,12.210914794858988
2006-03-01,3.9999961853027344,3.9299686749776206,4.761910438537598,4.336977005004883,11.834752229799065
2006-04-01,4.147815704345703,3.9504567782084146,4.591357707977295,4.352279504140218,11.62998034200831
2006-05-01,3.90625,4.0180206298828125,4.09090518951416,4.4813911120096845,12.170994933516864
2006-06-01,3.8037657737731934,3.952610492706299,4.166662693023682,4.282975196838379,12.34211408820481
2006-07-01,3.9638638496398926,3.891293207804362,4.154026508331299,4.137198130289714,12.869752844659764
2006-08-01,4.227054119110107,3.998227914174398,4.893183708190918,4.404624303181966,12.593084157063798
2006-09-01,3.738194704055786,3.976370890935262,4.167264938354492,4.404825051625569,12.196706659229443
2006-10-01,3.607356548309326,3.8575351238250732,4.166519641876221,4.408989429473877,11.826213043827744
