date,A191RC
1988-03-01,5073372.0
1988-04-01,5112260.0
1988-05-01,5151148.0
1988-06-01,5190036.0
1988-07-01,5220969.0
1988-08-01,5251902.0
1988-09-01,5282835.0
1988-10-01,5321726.333333333
1988-11-01,5360617.666666667
1988-12-01,5399509.0
1989-01-01,5436757.0
1989-02-01,5474005.0
1989-03-01,5511253.0
1989-04-01,5544989.666666667
1989-05-01,5578726.333333333
1989-06-01,5612463.0
1989-07-01,5640097.0
1989-08-01,5667731.0
1989-09-01,5695365.0
1989-10-01,5712655.666666667
1989-11-01,5729946.333333333
1989-12-01,5747237.0
1990-01-01,5789058.333333333
1990-02-01,5830879.666666667
1990-03-01,5872701.0
1990-04-01,5901810.0
1990-05-01,5930919.0
1990-06-01,5960028.0
1990-07-01,5978390.666666667
1990-08-01,5996753.333333333
1990-09-01,6015116.0
1990-10-01,6011655.0
1990-11-01,6008194.0
1990-12-01,6004733.0
1991-01-01,6014881.333333333
1991-02-01,6025029.666666667
1991-03-01,6035178.0
1991-04-01,6065739.333333333
1991-05-01,6096300.666666667
1991-06-01,6126862.0
1991-07-01,6153220.333333333
1991-08-01,6179578.666666667
1991-09-01,6205937.0
1991-10-01,6225471.333333333
1991-11-01,6245005.666666667
1991-12-01,6264540.0
1992-01-01,6297394.0
1992-02-01,6330248.0
1992-03-01,6363102.0
1992-04-01,6398989.0
1992-05-01,6434876.0
1992-06-01,6470763.0
1992-07-01,6502722.333333333
1992-08-01,6534681.666666667
1992-09-01,6566641.0
1992-10-01,6604695.0
1992-11-01,6642749.0
1992-12-01,6680803.0
1993-01-01,6697021.666666667
1993-02-01,6713240.333333333
1993-03-01,6729459.0
1993-04-01,6755952.333333333
1993-05-01,6782445.666666667
1993-06-01,6808939.0
1993-07-01,6833325.333333333
1993-08-01,6857711.666666667
1993-09-01,6882098.0
1993-10-01,6925978.0
1993-11-01,6969858.0
1993-12-01,7013738.0
1994-01-01,7047709.333333333
1994-02-01,7081680.666666667
1994-03-01,7115652.0
1994-04-01,7159411.666666667
1994-05-01,7203171.333333333
1994-06-01,7246931.0
1994-07-01,7274979.0
1994-08-01,7303027.0
1994-09-01,7331075.0
1994-10-01,7372479.333333333
1994-11-01,7413883.666666667
1994-12-01,7455288.0
1995-01-01,7477621.666666667
