date,Government,FIRE,GoodsTTU,Oth_Serv,Federal,State and local
1997-07-01,9.18653,10.8225,22.6721,13.4771,2.84275,6.3406
1998-07-01,9.18666,11.2559,23.6063,13.8111,2.80291,6.38673
1999-07-01,9.19154,11.9188,24.4041,14.2687,2.75401,6.44709
2000-07-01,9.27781,12.2805,25.2633,14.7572,2.75554,6.53459
2001-07-01,9.2802,12.8422,24.4925,14.7262,2.69251,6.60632
2002-07-01,9.35648,12.9925,24.4697,14.9957,2.71911,6.65569
2003-07-01,9.38229,13.0666,25.2102,15.235,2.74738,6.65132
2004-07-01,9.38232,13.3514,26.2501,15.6464,2.77085,6.62382
2005-01-01,9.40132,13.9062,26.5112,15.922,2.77719,6.63689
2005-04-01,9.38978,14.064,26.6553,15.9216,2.76703,6.63611
2005-07-01,9.39013,14.1118,26.8398,16.0212,2.76128,6.6432
2005-10-01,9.40227,14.1792,26.9362,16.0554,2.77326,6.64213
2006-01-01,9.36036,14.2066,27.5142,16.3057,2.75546,6.61893
2006-04-01,9.35884,14.1487,27.6028,16.3185,2.75428,6.61865
2006-07-01,9.36706,14.2926,27.3671,16.2706,2.75886,6.62164
2006-10-01,9.3564,14.43,27.4695,16.3094,2.75265,6.61746
2007-01-01,9.35342,14.6047,27.2651,16.3056,2.74949,6.61829
2007-04-01,9.35316,14.5788,27.5523,16.3029,2.74126,6.62746
2007-07-01,9.35235,14.6655,27.4992,16.4443,2.75404,6.61175
2007-10-01,9.3878,14.6567,27.5641,16.6065,2.76027,6.64185
2008-01-01,9.4341,14.7638,26.8844,16.654,2.77521,6.67315
2008-04-01,9.47102,14.7033,26.919,16.8185,2.78926,6.69576
2008-07-01,9.49453,14.3907,26.5466,16.9384,2.80869,6.69826
2008-10-01,9.41331,13.7783,25.7077,16.8505,2.81439,6.60762
2009-01-01,9.36953,14.5732,24.4918,16.3264,2.82092,6.55547
2009-04-01,9.38491,14.8172,24.1458,16.1128,2.84566,6.54381
2009-07-01,9.37326,14.8872,24.2007,16.0527,2.85496,6.52167
2009-10-01,9.37614,14.9296,24.5814,16.0668,2.86174,6.51678
2010-01-01,9.39008,14.9893,24.4426,16.2045,2.88514,6.50555
2010-04-01,9.37998,15.0346,24.8047,16.3708,2.90631,6.47162
