date,JRXWTFB_N.B
2006-01-01,100
2006-02-01,100.211
2006-03-01,100.428
2006-04-01,99.7435
2006-05-01,97.5118
2006-06-01,98.6927
2006-07-01,98.4387
2006-08-01,97.7138
2006-09-01,97.9814
2006-10-01,98.3157
2006-11-01,97.5133
2006-12-01,96.7951
2007-01-01,97.8338
2007-02-01,97.4764
2007-03-01,97.0118
2007-04-01,95.6322
2007-05-01,94.7225
2007-06-01,94.4449
2007-07-01,93.2059
2007-08-01,93.7603
2007-09-01,92.4366
2007-10-01,90.4002
2007-11-01,89.053
2007-12-01,90.005
2008-01-01,89.3971
2008-02-01,88.6434
2008-03-01,86.8399
2008-04-01,86.5475
2008-05-01,86.8245
2008-06-01,87.0728
2008-07-01,86.4538
2008-08-01,88.945
2008-09-01,91.2651
2008-10-01,98.04
2008-11-01,100.767
2008-12-01,99.6622
2009-01-01,100.352
2009-02-01,102.974
2009-03-01,103.44
2009-04-01,100.716
2009-05-01,97.5519
2009-06-01,96.0426
2009-07-01,95.6606
2009-08-01,94.373
2009-09-01,93.6638
2009-10-01,92.2598
2009-11-01,91.7996
2009-12-01,92.2586
2010-01-01,92.4403
2010-02-01,93.8867
2010-03-01,93.1499
2010-04-01,92.6391
2010-05-01,95.5306
2010-06-01,96.0606
2010-07-01,94.4547
2010-08-01,93.6822
2010-09-01,92.7626
2010-10-01,90.2291
2010-11-01,90.5095
2010-12-01,91.1835
2011-01-01,90.1112
2011-02-01,89.3967
2011-03-01,88.4872
2011-04-01,86.9214
2011-05-01,86.9464
2011-06-01,86.9413
2011-07-01,86.3178
2011-08-01,86.8982
2011-09-01,89.7253
2011-10-01,90.6098
2011-11-01,91.2649
2011-12-01,92.2056
2012-01-01,91.6463
2012-02-01,89.9605
2012-03-01,90.5112
2012-04-01,90.8156
2012-05-01,92.4928
2012-06-01,93.8809
2012-07-01,93.4062
2012-08-01,92.5283
2012-09-01,90.9802
2012-10-01,90.7566
2012-11-01,91.4751
2012-12-01,90.8804
2013-01-01,90.8255
2013-02-01,91.551
2013-03-01,92.4133
2013-04-01,92.0479
2013-05-01,92.5291
2013-06-01,93.2836
2013-07-01,93.8724
2013-08-01,93.7148
2013-09-01,93.4705
2013-10-01,92.4992
2013-11-01,93.3735
2013-12-01,93.5338
2014-01-01,94.4645
2014-02-01,94.6453
2014-03-01,94.4406
2014-04-01,93.9953
2014-05-01,93.6698
2014-06-01,93.8271
2014-07-01,93.6036
2014-08-01,94.5805
2014-09-01,96.1206
2014-10-01,97.4393
2014-11-01,99.1144
2014-12-01,101.444
2015-01-01,103.76
2015-02-01,105.168
2015-03-01,107.365
2015-04-01,106.352
2015-05-01,105.406
2015-06-01,106.179
2015-07-01,108.124
2015-08-01,109.977
2015-09-01,110.851
2015-10-01,109.904
2015-11-01,111.692
2015-12-01,112.786
2016-01-01,115.234
2016-02-01,114.282
2016-03-01,111.892
2016-04-01,110.016
2016-05-01,111.14
2016-06-01,111.559
2016-07-01,112.475
2016-08-01,111.436
2016-09-01,112.315
2016-10-01,113.471
2016-11-01,116.105
2016-12-01,117.902
2017-01-01,117.784
2017-02-01,116.117
2017-03-01,115.651
2017-04-01,114.766
2017-05-01,114.258
2017-06-01,112.757
2017-07-01,111.057
2017-08-01,109.902
2017-09-01,108.851
2017-10-01,110.888
2017-11-01,111.163
2017-12-01,110.876
2018-01-01,108.358
2018-02-01,107.65
2018-03-01,107.949
2018-04-01,107.945
2018-05-01,111.05
2018-06-01,112.848
2018-07-01,113.062
2018-08-01,113.833
2018-09-01,114.08
2018-10-01,114.831
2018-11-01,116.169
2018-12-01,116.213
2019-01-01,114.441
2019-02-01,114.413
2019-03-01,114.785
2019-04-01,114.904
2019-05-01,115.959
2019-06-01,115.43
2019-07-01,115.078
2019-08-01,117.104
2019-09-01,117.328
2019-10-01,116.75
2019-11-01,116.563
2019-12-01,115.913
2020-01-01,115.312
2020-02-01,116.75
2020-03-01,121.27
2020-04-01,123.604
2020-05-01,122.938
2020-06-01,119.923
2020-07-01,118.949
2020-08-01,117.209
2020-09-01,116.614
2020-10-01,116.087
2020-11-01,114.38
2020-12-01,112.141
2021-01-01,111.746
2021-02-01,112.287
2021-03-01,113.626
2021-04-01,112.915
2021-05-01,111.475
2021-06-01,111.853
2021-07-01,113.345
2021-08-01,113.693
2021-09-01,113.752
2021-10-01,114.808
2021-10-08,114.936
