date,ADJWGT_Men,ADJWGT_Women,ADJWGT_Total
1989-01-01,76.2656,57.1942,66.3363
1989-04-01,76.3282,57.1145,66.334
1989-07-01,76.3631,57.338,66.4444
1989-10-01,76.3712,57.6417,66.6215
1990-01-01,76.047,57.3796,66.3299
1990-04-01,75.8949,57.267,66.2052
1990-07-01,75.8353,57.2596,66.1497
1990-10-01,75.9008,57.1722,66.1512
1991-01-01,75.6178,57.1529,66.0078
1991-04-01,75.4597,57.3353,66.0321
1991-07-01,75.2772,57.1457,65.821
1991-10-01,75.0755,57.2466,65.7942
1992-01-01,75.3455,57.5076,66.0635
1992-04-01,75.5937,57.7088,66.2904
1992-07-01,75.5236,57.7999,66.2779
1992-10-01,75.1115,57.5044,65.9483
1993-01-01,75.0876,57.4623,65.9149
1993-04-01,75.037,57.6646,66.0002
1993-07-01,75.0238,57.7301,66.0039
1993-10-01,74.7716,58.1364,66.1138
1994-01-01,74.657,58.5305,66.2627
1994-04-01,74.3304,58.5575,66.1247
1994-07-01,74.6584,58.7506,66.3659
1994-10-01,75.0588,58.811,66.6029
1995-01-01,74.8914,58.7065,66.4617
1995-04-01,74.7519,58.8352,66.4677
1995-07-01,74.6622,58.933,66.4732
1995-10-01,74.4451,58.8727,66.3378
1996-01-01,74.5607,58.7756,66.3344
1996-04-01,74.8607,58.9495,66.5771
1996-07-01,74.8864,59.2464,66.7518
1996-10-01,74.8187,59.5606,66.8746
1997-01-01,74.838,59.5531,66.8685
1997-04-01,74.924,59.5918,66.9401
1997-07-01,74.8853,59.8127,67.0518
1997-10-01,74.9516,59.8331,67.0781
1998-01-01,74.6941,59.7135,66.8824
1998-04-01,74.7387,59.5715,66.8412
1998-07-01,74.8049,59.6471,66.9267
1998-10-01,74.952,59.7462,67.034
1999-01-01,74.8077,59.797,66.9799
1999-04-01,74.7392,59.8569,66.9906
1999-07-01,74.7784,59.7989,66.9916
1999-10-01,74.8163,59.8815,67.0389
2000-01-01,75.0287,60.0536,67.2202
2000-04-01,74.8883,60.1256,67.2059
2000-07-01,74.7421,59.7415,66.9386
2000-10-01,74.7043,59.8644,66.9791
2001-01-01,74.7229,60.0703,67.0814
2001-04-01,74.4509,59.6847,66.7682
2001-07-01,74.3496,59.5891,66.6705
2001-10-01,74.3661,59.6771,66.7183
2002-01-01,74.2434,59.6317,66.6229
2002-04-01,74.2674,59.546,66.6106
2002-07-01,74.1789,59.564,66.5737
2002-10-01,73.8256,59.4668,66.35
2003-01-01,73.7559,59.5854,66.3649
2003-04-01,73.7009,59.7024,66.4197
2003-07-01,73.523,59.3416,66.1453
2003-10-01,73.6575,59.0798,66.0655
2004-01-01,73.6578,59.1724,66.1036
2004-04-01,73.395,59.2542,66.0415
2004-07-01,73.5633,59.1988,66.0858
2004-10-01,73.6777,59.1332,66.1069
2005-01-01,73.5492,59.115,66.0213
2005-04-01,73.7776,59.285,66.2416
2005-07-01,73.8782,59.4714,66.3748
2005-10-01,73.7508,59.4887,66.3289
2006-01-01,73.9317,59.2852,66.2952
2006-04-01,74.0057,59.4355,66.4314
2006-07-01,74.005,59.6786,66.5344
2006-10-01,74.2403,59.8187,66.7404
2007-01-01,74.1043,59.6746,66.5821
2007-04-01,73.9536,59.4025,66.3903
2007-07-01,73.7521,59.5973,66.3664
2007-10-01,73.8395,59.6894,66.4826
2008-01-01,73.8367,59.7543,66.4966
2008-04-01,73.8667,59.9309,66.6246
2008-07-01,74.0413,59.936,66.6782
2008-10-01,73.7287,59.9694,66.5778
2009-01-01,73.3915,59.8857,66.3517
2009-04-01,73.2009,59.9859,66.3319
2009-07-01,72.8819,59.8207,66.0665
2009-10-01,72.5294,59.279,65.6397
2010-01-01,72.7283,59.4028,65.7841
2010-04-01,72.5262,59.2883,65.6428
2010-07-01,72.2893,59.192,65.4605
2010-10-01,72.1611,59.1542,65.3935
2011-01-01,72.1544,58.9681,65.2827
2011-04-01,72,58.8009,65.136
2011-07-01,71.9675,58.838,65.129
2011-10-01,72.2168,58.7334,65.1963
2012-01-01,72.1679,58.7347,65.1656
2012-04-01,72.1318,58.7169,65.1562
2012-07-01,72.0942,58.7014,65.1234
2012-10-01,72.286,58.7865,65.2543
2013-01-01,72.0667,58.4057,64.9442
2013-04-01,72.0942,58.5146,65.0334
2013-07-01,71.9242,58.5487,64.9653
2013-10-01,71.6423,58.2458,64.6619
2014-01-01,71.5523,58.531,64.7642
2014-04-01,71.5669,58.4562,64.7489
2014-07-01,71.8004,58.3332,64.7959
2014-10-01,71.8138,58.5094,64.8794
2015-01-01,71.776,58.2429,64.7235
2015-04-01,71.8645,58.4867,64.9049
2015-07-01,71.6454,58.2326,64.6694
2015-10-01,71.7598,58.5285,64.8644
2016-01-01,71.9099,58.7074,65.033
2016-04-01,72.0496,58.7547,65.1276
2016-07-01,72.2398,58.81,65.2558
2016-10-01,72.1706,58.8836,65.2479
2017-01-01,72.1158,59.14,65.3629
2017-04-01,72.2088,59.3396,65.4989
2017-07-01,72.2913,59.4552,65.6179
2017-10-01,72.2671,59.281,65.5029
2018-01-01,72.4438,59.3033,65.6116
2018-04-01,72.576,59.4551,65.7234
2018-07-01,72.2187,59.6344,65.6819
2018-10-01,72.3992,59.984,65.9314
2019-01-01,72.6477,60.083,66.1206
2019-04-01,72.6334,59.9545,66.0022
2019-07-01,72.813,60.2823,66.3063
2019-10-01,72.8568,60.765,66.5582
2020-01-01,72.6724,60.6904,66.4493
2020-04-01,70.4681,58.3827,64.1437
2020-07-01,71.4043,59.055,64.9926
