date,TOTALEXP_1,INCAFTTX_1,INCBEFTX_1,PENSIONS_1,CHGASLI_1,900000_1,SFEMPINC_1,INDIVRNT_1,980010_1,ADJEXP_1,DI_SAVE_RT_1,MI_SAVE_RT_1,DI_SAVE_1,MI_SAVE_1,TOTALEXP_2,INCAFTTX_2,INCBEFTX_2,PENSIONS_2,CHGASLI_2,900000_2,SFEMPINC_2,INDIVRNT_2,980010_2,ADJEXP_2,DI_SAVE_RT_2,MI_SAVE_RT_2,DI_SAVE_2,MI_SAVE_2,TOTALEXP_3,INCAFTTX_3,INCBEFTX_3,PENSIONS_3,CHGASLI_3,900000_3,SFEMPINC_3,INDIVRNT_3,980010_3,ADJEXP_3,DI_SAVE_RT_3,MI_SAVE_RT_3,DI_SAVE_3,MI_SAVE_3,TOTALEXP_4,INCAFTTX_4,INCBEFTX_4,PENSIONS_4,CHGASLI_4,900000_4,SFEMPINC_4,INDIVRNT_4,980010_4,ADJEXP_4,DI_SAVE_RT_4,MI_SAVE_RT_4,DI_SAVE_4,MI_SAVE_4,TOTALEXP_5,INCAFTTX_5,INCBEFTX_5,PENSIONS_5,CHGASLI_5,900000_5,SFEMPINC_5,INDIVRNT_5,980010_5,ADJEXP_5,DI_SAVE_RT_5,MI_SAVE_RT_5,DI_SAVE_5,MI_SAVE_5,TOTALEXP_6,INCAFTTX_6,INCBEFTX_6,PENSIONS_6,CHGASLI_6,900000_6,SFEMPINC_6,INDIVRNT_6,980010_6,ADJEXP_6,DI_SAVE_RT_6,MI_SAVE_RT_6,DI_SAVE_6,MI_SAVE_6
1988-01-01,25892,26149.0,28540,1935,,21779,1790,1016,2.6,23957,16.939721792890264,4.853168469860897,2192.0,628,10893,4854.0,4942,159,,1520,-188,89,1.8,10734,-45.440494590417316,-71.97063369397218,-5880.0,-9313,16880,12309.0,12872,626,,6853,375,360,2.3,16254,-30.486862442040184,-66.97063369397218,-3945.0,-8666,23290,21174.0,22570,1580,,16405,838,759,2.6,21710,-4.142194744976816,-28.655332302936632,-536.0,-3708,32084,32125.0,34974,3007,,29013,1630,1052,3.0,29077,23.554868624420404,20.231839258114373,3048.0,2618,48718,60157.0,67199,5656,,54985,6278,2815,3.1,43062,132.10973724884082,162.4111282843895,17095.0,21016
1989-01-01,27810,28496.0,31308,2125,,23248,2535,1253,2.6,25685,20.28138528138528,9.747474747474747,2811.0,1351,12119,5669.0,5720,212,,1833,-45,180,1.8,11907,-45.00721500721501,-71.70995670995671,-6238.0,-9939,17616,13348.0,13894,686,,7330,542,425,2.2,16930,-25.844155844155843,-62.28715728715729,-3582.0,-8633,24476,22233.0,23856,1722,,17252,1115,878,2.6,22754,-3.759018759018759,-25.317460317460316,-521.0,-3509,34231,34183.0,37524,3154,,31323,1590,1117,2.9,31077,22.40981240981241,21.305916305916305,3106.0,2953,53093,66923.0,75406,6268,,58385,9455,3661,3.1,46825,145.007215007215,178.03751803751803,20098.0,24676
1990-01-01,28381,28937.0,31889,2248,-441.0,24173,2315,1059,2.6,26133,19.49930458970793,9.833101529902642,2804.0,1414,12909,5553.0,5637,208,174.0,1754,-181,92,1.8,12701,-49.70792767732962,-76.74547983310153,-7148.0,-11036,17927,13429.0,14115,705,-213.0,7356,440,513,2.2,17222,-26.376912378303196,-61.98191933240612,-3793.0,-8913,24687,22678.0,24500,1783,-860.0,17462,1111,924,2.6,22904,-1.5716272600834493,-23.692628650904034,-226.0,-3407,34265,35049.0,38376,3415,453.0,32262,1568,1037,2.9,30850,29.200278164116828,27.934631432545203,4199.0,4017,55437,67835.0,76660,6726,-1590.0,61894,8620,2727,3.2,48711,132.99026425591097,170.58414464534076,19124.0,24530
1991-01-01,29614,30729.0,33901,2431,478.0,25553,2552,1164,2.6,27183,24.138869979577944,14.200136147038803,3546.0,2086,13464,5648.0,5981,193,-750.0,1764,-148,127,1.8,13271,-51.89244383934649,-78.47515316541866,-7623.0,-11528,18986,14308.0,14821,744,-1128.0,7788,409,470,2.3,18242,-26.78012253233492,-65.18039482641252,-3934.0,-9575,26144,23973.0,26073,1948,-1272.0,18843,1221,964,2.6,24196,-1.5180394826412524,-21.56569094622192,-223.0,-3168,36151,37237.0,40868,3596,-101.0,34000,1973,1135,2.9,32555,31.87202178352621,30.993873383253913,4682.0,4553,57597,72332.0,81594,7443,4740.0,65232,9283,3118,3.2,50154,150.97345132743362,187.05922396187884,22178.0,27479
1992-01-01,29846,30786.0,33854,2397,-1529.0,25064,2490,1130,2.5,27449,22.395973154362416,8.288590604026846,3337.0,1235,12643,5841.0,5981,183,-139.0,1701,-111,99,1.8,12460,-44.42281879194631,-72.28859060402685,-6619.0,-10771,19257,14115.0,14606,692,-1971.0,6974,473,502,2.2,18565,-29.86577181208054,-71.24832214765101,-4450.0,-10616,26573,23399.0,25108,1776,-306.0,17179,1069,816,2.5,24797,-9.38255033557047,-38.47651006711409,-1398.0,-5733,36094,36957.0,40284,3513,-3861.0,32734,1903,1266,2.9,32581,29.369127516778526,22.29530201342282,4376.0,3322,57981,73479.0,83131,7467,-2555.0,66598,9096,2960,3.1,50514,154.1275167785235,188.85906040268458,22965.0,28140
1993-01-01,30692,31890.0,34868,2509,-2185.0,26494,2119,1029,2.5,28183,24.02462734931951,9.455605962410887,3707.0,1459,13957,6285.0,6395,193,-401.0,1823,10,87,1.9,13764,-48.47051198963059,-76.75955930006481,-7479.0,-11844,19712,14606.0,15071,717,-376.0,7169,481,383,2.1,18995,-28.444588464031106,-71.04342190537913,-4389.0,-10962,26603,24290.0,26037,1860,-1663.0,18034,1157,732,2.5,24743,-2.935839274141283,-31.23784834737524,-453.0,-4820,37299,38432.0,41935,3783,-5552.0,34615,1996,1107,2.9,33516,31.860012961762802,27.232663642255346,4916.0,4202,59521,75707.0,84753,7840,-4254.0,70703,6936,2833,3.1,51681,155.7096565132858,186.59105638366816,24026.0,28791
1994-01-01,31731,33098.0,36181,2540,-562.0,27795,1870,1087,2.5,29191,24.510664993726476,9.79297365119197,3907.0,1561,14356,5707.0,5937,214,-223.0,2023,-887,97,1.8,14142,-52.91718946047679,-80.98494353826851,-8435.0,-12909,20891,15221.0,15787,766,-4.0,7778,491,383,2.3,20125,-30.765370138017566,-71.97616060225846,-4904.0,-11473,28513,25326.0,27305,2030,225.0,19929,913,616,2.5,26483,-7.258469259723965,-31.524466750313678,-1157.0,-5025,39033,39461.0,43080,3830,-2969.0,35282,1964,1007,2.9,35203,26.71267252195734,19.134253450439147,4258.0,3050,60803,79599.0,88598,7979,-1202.0,73794,6851,3325,3.1,52824,167.9736511919699,195.39523212045168,26775.0,31146
1995-01-01,32264,33864.0,36918,2591,-969.0,28474,2034,861,2.5,29673,24.9761620977354,10.107270560190704,4191.0,1696,14607,6186.0,6305,206,-629.0,1864,-226,93,1.8,14401,-48.957091775923715,-75.50655542312276,-8215.0,-12670,22126,15537.0,16114,810,-1710.0,8154,422,361,2.2,21316,-34.43980929678188,-73.77234803337306,-5779.0,-12379,29125,26400.0,28242,2126,-733.0,20474,995,544,2.6,26999,-3.5697258641239573,-29.71394517282479,-599.0,-4986,39395,41338.0,44753,4025,-946.0,37267,1717,1066,2.8,35370,35.56615017878427,27.890345649582837,5968.0,4680,62639,79715.0,89011,8495,-853.0,74466,7246,2239,3.1,54144,152.38974970202622,177.63408820023838,25571.0,29807
1996-01-01,33797,34864.0,38014,2707,-1689.0,29560,2318,761,2.5,31090,21.455372370665152,8.806139852188743,3774.0,1549,15896,6365.0,6542,206,-655.0,1989,-78,74,1.8,15690,-53.01307561114269,-77.91358726549176,-9325.0,-13705,22799,15796.0,16204,776,-1479.0,8084,356,306,2.3,22023,-35.40079590676521,-75.48038658328596,-6227.0,-13277,30402,26544.0,28321,2102,-3902.0,20576,1058,548,2.6,28300,-9.982944855031267,-34.78112563956793,-1756.0,-6118,41965,42447.0,46296,4251,-2993.0,38665,2200,851,2.9,37714,26.907333712336555,22.7515633882888,4733.0,4002,66794,83003.0,92523,9389,-2177.0,78324,8037,2024,3.1,57405,145.52586696986924,176.12279704377488,25598.0,30980
1997-01-01,34819,36684.0,39926,2844,1105.0,31506,1969,822,2.5,31975,25.101279317697227,12.377398720682303,4709.0,2322,16008,7008.0,7086,246,146.0,2318,-199,85,1.8,15762,-46.66311300639659,-72.27078891257996,-8754.0,-13558,23558,16839.0,17246,867,476.0,8896,474,308,2.3,22691,-31.19402985074627,-69.36567164179105,-5852.0,-13013,31447,28426.0,30285,2284,-1788.0,22080,1354,570,2.5,29163,-3.9285714285714284,-27.500000000000004,-737.0,-5159,42846,44512.0,48478,4444,-1317.0,40592,2050,993,2.9,38402,32.569296375266525,27.89445628997868,6110.0,5233,66800,86515.0,96397,9364,4920.0,83519,6157,2151,3.1,57436,155.00533049040513,183.32089552238807,29079.0,34391
