date,elec,gdp,pop,elecgdp,elecpop
2011-03-01,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.35378775171057697,,,,
2011-05-01,0.2493935500818667,,,,
2011-06-01,0.054757231288893315,0.6765822931436904,0.18134559717728482,-0.6176461771856823,-0.12635921900807645
2011-07-01,0.2720461194489099,,,,
2011-08-01,0.21454931490276774,,,,
2011-09-01,0.017940797453963597,0.6541185932062321,0.3951278625627497,-0.6320434818205323,-0.37570255961537624
2011-10-01,0.03678814898409044,,,,
2011-11-01,-0.009432273362375287,,,,
2011-12-01,-0.6486181572727845,1.7845137226552898,0.6044139561173667,-2.390473551367478,-1.2455041127089173
2012-01-01,-1.2143057926741085,,,,
2012-02-01,-1.3048620590141558,,,,
2012-03-01,-1.5379757354284207,2.638069310886282,0.7827621054073974,-4.068709665285731,-2.3027130754846636
2012-04-01,-1.7117503417274582,,,,
2012-05-01,-1.399460476946135,,,,
2012-06-01,-1.5666954328025895,3.09617867701395,0.9626089786410441,-4.522838935111917,-2.5051892349361893
2012-07-01,-1.6648690862664295,,,,
2012-08-01,-1.9268464169552746,,,,
2012-09-01,-2.007918112678475,3.2446660384789494,1.1736078995598032,-5.087511396666066,-3.144620497666495
2012-10-01,-1.9363529953275838,,,,
2012-11-01,-1.8909510572653332,,,,
2012-12-01,-1.917743837817787,3.3640587420138646,1.3837504067965245,-5.1099024594366105,-3.256433335092901
2013-01-01,-1.6889794465086094,,,,
2013-02-01,-1.6807736078066182,,,,
2013-03-01,-1.2855799474531526,4.383807886135704,1.5477536269119518,-5.431290492653007,-2.7901489429050463
2013-04-01,-1.1861432125293336,,,,
2013-05-01,-1.5341159018947281,,,,
2013-06-01,-1.6311069876718376,4.663176883700348,1.720320983848067,-6.013847523820425,-3.294747734872039
2013-07-01,-2.1107782765327987,,,,
2013-08-01,-2.3631222102001193,,,,
2013-09-01,-2.2091246491027117,5.554272440887553,1.933353887261724,-7.354886647850211,-4.063908797650296
2013-10-01,-2.1298030085271646,,,,
2013-11-01,-1.9222919819329554,,,,
2013-12-01,-1.4767648463894112,6.474433106281152,2.1504547556651765,-7.467706303478316,-3.5508599650687644
2014-01-01,-0.7914467490116706,,,,
2014-02-01,-0.4372823771543799,,,,
2014-03-01,-0.28174920034605977,6.106994112276665,2.334262542178367,-6.021038826019809,-2.5563400541887993
2014-04-01,-0.3231258267814452,,,,
2014-05-01,-0.26103188164127156,,,,
2014-06-01,-0.23642308174448567,7.47772896426091,2.5216030351300933,-7.177442359775343,-2.690190199161757
2014-07-01,-0.45625705425058616,,,,
2014-08-01,-0.4792952878216905,,,,
2014-09-01,-0.5049883777308084,8.784004049021332,2.7434141787849198,-8.538932270378874,-3.1616649908705052
2014-10-01,-0.5149022105589318,,,,
2014-11-01,-0.4434351818790261,,,,
2014-12-01,-0.8086154489587938,9.334160804395486,2.9659746844115764,-9.276859289659933,-3.66586160616591
2015-01-01,-1.2157135729942037,,,,
2015-02-01,-0.9703365412748743,,,,
2015-03-01,-1.1552559240063043,10.318698497786594,3.144858092252867,-10.400734035149185,-4.169004733530346
2015-04-01,-1.2400083019820318,,,,
2015-05-01,-1.3039167301534316,,,,
2015-06-01,-1.1933067156231658,11.002018127928093,3.3297363958686876,-10.986579387679551,-4.37729086442602
2015-07-01,-0.8385828765935743,,,,
2015-08-01,-0.6501946769648326,,,,
2015-09-01,-0.40219437986485085,11.44629822337604,3.549299453608068,-10.631571251915894,-3.8160507645377817
2015-10-01,-0.4606067670365088,,,,
2015-11-01,-0.8687140088391665,,,,
