date,CEU0000000001,CEU0500000001,CEU0500000006,CEU0600000001,CEU0800000001,CEU1021100001,CEU1021100003,CEU1021200001,CEU1021200003,CEU1021300001,CEU1021300003,CEU2023600001,CEU2023600003,CEU2023700001,CEU2023700003,CEU2023800001,CEU2023800003,CEU3132100001,CEU3132100003,CEU3132700001,CEU3132700003,CEU3133100001,CEU3133100003,CEU3133200001,CEU3133200003,CEU3133300001,CEU3133300003,CEU3133400001,CEU3133400003,CEU3133500001,CEU3133500003,CEU3133600001,CEU3133600003,CEU3133700001,CEU3133700003,CEU3133900001,CEU3133900003,CEU3231100001,CEU3231100003,CEU3231300001,CEU3231300003,CEU3231400001,CEU3231400003,CEU3231500001,CEU3231500003,CEU3232200001,CEU3232200003,CEU3232300001,CEU3232300003,CEU3232400001,CEU3232500001,CEU3232500003,CEU3232600001,CEU3232600003,CEU3232900001,CEU4142300001,CEU4142300003,CEU4142400001,CEU4142400003,CEU4142500001,CEU4142500003,CEU4244100001,CEU4244100003,CEU4244400001,CEU4244400003,CEU4244500001,CEU4244500003,CEU4244900001,CEU4244900003,CEU4245500001,CEU4245500003,CEU4245600001,CEU4245600003,CEU4245700001,CEU4245700003,CEU4245800001,CEU4245800003,CEU4245900001,CEU4245900003,CEU4348100001,CEU4348100003,CEU4348200001,CEU4348300001,CEU4348400001,CEU4348400003,CEU4348500001,CEU4348500003,CEU4348600001,CEU4348700001,CEU4348800001,CEU4348800003,CEU4349200001,CEU4349200003,CEU4349300001,CEU4349300003,CEU4422000001,CEU4422000003,CEU5051200001,CEU5051200003,CEU5051300001,CEU5051300003,CEU5051600001,CEU5051600003,CEU5051700001,CEU5051700003,CEU5051800001,CEU5051800003,CEU5051900001,CEU5051900003,CEU5552100001,CEU5552200001,CEU5552200003,CEU5552300001,CEU5552300003,CEU5552400001,CEU5552400003,CEU5553100001,CEU5553100003,CEU5553200001,CEU5553200003,CEU5553300001,CEU6054000001,CEU6054000003,CEU6055000001,CEU6055000003,CEU6056100001,CEU6056100003,CEU6056200001,CEU6056200003,CEU6561000001,CEU6562100001,CEU6562100003,CEU6562200001,CEU6562200003,CEU6562300001,CEU6562300003,CEU6562400001,CEU6562400003,CEU7071100001,CEU7071100003,CEU7071200001,CEU7071200003,CEU7071300001,CEU7071300003,CEU7072100001,CEU7072100003,CEU7072200001,CEU7072200003,CEU8081100001,CEU8081100003,CEU8081200001,CEU8081200003,CEU8081300001,CEU8081300003,CEU9000000001
1988-07-01,105378.0,87838.0,71059.0,23909.0,63929.0,194.5,,,,,,,,,,2986.2,,,,538.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.3,,,,,,,,,,,,,,722.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1523.2,,,,,,,,,,17540.0
1989-07-01,108051.0,90124.0,72960.0,24045.0,66079.0,191.0,,,,,,,,,,3053.0,,,,539.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.8,,,,,,,,,,,,,,732.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578.3,,,,,,,,,,17927.0
1990-07-01,109527.0,91112.0,73721.0,23723.0,67389.0,190.2,,302.2,,187.6,,1413.0,,813.0,,3037.3,,543.0,,528.4,,688.6,,1610.0,,1409.8,,1902.5,,633.1,,2134.5,,601.7,,685.7,,1507.3,,491.8,,235.6,,902.8,,647.2,,808.5,,152.8,1035.7,,824.8,,350.9,2913.1,,1957.7,,358.7,,1498.2,,897.1,,2878.0,,898.9,,2536.0,,814.3,,1032.2,,1338.1,,1291.8,,529.2,,270.4,56.8,1122.6,,271.9,,59.8,15.7,367.2,,375.0,,409.4,,740.0,,254.6,,876.9,,299.7,,1008.5,,211.4,,37.1,,24.0,2424.9,,488.7,,2038.9,,1109.0,,514.2,,13.9,4564.6,,1671.7,,4416.4,,229.4,,1688.0,2841.6,,3512.6,,1856.4,,1125.3,,272.7,,68.0,,791.3,,1616.0,,6539.6,,1009.0,,1119.9,,2132.2,,18415.0
1991-07-01,108425.0,89879.0,72565.0,22588.0,67292.0,191.0,,285.2,,184.5,,1252.9,,759.1,,2768.4,,500.7,,494.7,,656.1,,1541.3,,1347.9,,1809.3,,597.7,,2029.3,,561.5,,681.8,,1515.2,,479.9,,225.1,,876.9,,638.5,,792.3,,154.8,1024.1,,802.1,,339.0,2844.9,,1948.0,,354.3,,1438.7,,869.0,,2862.3,,878.3,,2451.9,,810.0,,1005.2,,1300.0,,1280.9,,525.4,,251.8,57.4,1104.9,,282.2,,60.7,16.5,380.2,,378.9,,405.9,,736.1,,258.9,,869.4,,297.1,,999.9,,212.8,,39.2,,24.2,2352.4,,486.8,,2074.5,,1109.8,,499.4,,13.9,4535.2,,1644.4,,4337.3,,232.4,,1736.6,3028.4,,3617.3,,1972.0,,1201.3,,282.7,,71.0,,823.4,,1574.3,,6504.6,,960.0,,1109.2,,2179.5,,18545.0
1992-07-01,108799.0,90012.0,72850.0,22095.0,67917.0,182.2,,271.9,,155.7,,1187.3,,734.2,,2686.0,,504.1,,487.3,,630.3,,1497.2,,1311.2,,1707.3,,579.4,,1978.1,,563.2,,687.7,,1518.3,,479.0,,228.0,,879.3,,639.6,,780.3,,152.3,1028.9,,817.9,,329.3,2776.2,,1947.4,,348.1,,1431.9,,878.1,,2834.4,,873.3,,2450.4,,802.4,,989.4,,1274.1,,1291.9,,519.6,,241.8,56.7,1107.7,,287.1,,60.1,17.7,374.0,,388.8,,408.3,,726.0,,254.3,,860.3,,295.5,,972.9,,219.6,,38.7,,23.7,2317.3,,508.0,,2081.9,,1116.7,,496.4,,14.6,4601.2,,1631.7,,4536.8,,236.7,,1713.1,3199.9,,3711.4,,2043.5,,1280.4,,289.5,,75.0,,871.8,,1561.5,,6639.0,,964.0,,1098.9,,2177.1,,18787.0
1993-07-01,110931.0,91942.0,74668.0,22219.0,69723.0,170.9,,250.9,,163.1,,1227.4,,738.4,,2813.6,,526.4,,491.1,,618.4,,1509.5,,1330.9,,1655.9,,575.8,,1915.0,,575.7,,702.5,,1534.6,,478.7,,232.6,,857.3,,639.7,,785.2,,146.2,1024.9,,847.8,,325.2,2764.1,,1944.2,,347.3,,1479.2,,898.1,,2863.0,,894.9,,2487.1,,801.2,,991.7,,1285.3,,1316.0,,516.6,,233.4,52.8,1155.0,,299.7,,58.7,19.3,386.4,,414.3,,416.1,,710.7,,259.6,,879.3,,299.5,,969.5,,223.4,,36.4,,23.4,2360.7,,541.5,,2139.6,,1148.6,,511.0,,16.7,4714.7,,1650.4,,4920.0,,248.6,,1755.4,3385.5,,3740.0,,2128.1,,1353.3,,286.8,,78.3,,936.8,,1580.5,,6849.9,,998.0,,1116.0,,2236.4,,18989.0
1994-07-01,114393.0,95118.0,77472.0,22774.0,72344.0,162.4,,255.3,,158.8,,1300.8,,761.7,,3032.5,,562.9,,505.3,,630.4,,1565.3,,1381.4,,1651.1,,588.5,,1937.4,,600.4,,709.0,,1539.2,,477.6,,242.9,,831.9,,639.4,,802.3,,144.0,1004.7,,888.1,,318.4,2865.6,,1984.6,,358.0,,1568.9,,952.7,,2913.8,,955.4,,2580.6,,821.1,,1013.1,,1288.9,,1390.5,,511.2,,223.3,52.3,1206.4,,317.0,,57.0,21.3,410.1,,466.2,,433.8,,689.3,,278.4,,897.4,,306.5,,989.5,,226.9,,39.7,,23.4,2375.7,,588.6,,2187.7,,1185.9,,529.9,,18.4,4849.7,,1678.4,,5426.9,,260.7,,1894.9,3578.8,,3724.0,,2227.0,,1447.0,,296.1,,81.8,,997.7,,1615.3,,7108.7,,1023.5,,1120.3,,2284.5,,19275.0
1995-07-01,117401.0,97968.0,79937.0,23156.0,74813.0,151.7,,252.4,,154.0,,1325.4,,774.7,,3174.1,,576.1,,513.1,,641.7,,1623.4,,1442.3,,1688.4,,592.8,,1978.5,,607.0,,709.7,,1560.0,,468.5,,242.1,,791.1,,639.5,,817.3,,140.4,987.9,,913.7,,307.6,2991.6,,2029.2,,371.8,,1631.5,,988.6,,2969.0,,1015.0,,2677.4,,837.2,,1033.9,,1274.9,,1461.5,,510.9,,218.8,50.8,1249.3,,328.9,,53.6,22.0,436.4,,516.8,,446.6,,666.2,,311.1,,917.9,,316.9,,1009.3,,242.6,,45.8,,23.0,2314.4,,597.4,,2172.7,,1181.7,,557.4,,19.0,5105.8,,1700.4,,5809.7,,273.3,,2010.2,3767.5,,3733.7,,2307.7,,1540.2,,307.7,,83.9,,1067.8,,1652.5,,7389.1,,1078.8,,1143.9,,2348.9,,19432.0
1996-07-01,119828.0,100289.0,81880.0,23409.0,76880.0,146.9,,249.4,,160.1,,1380.2,,800.1,,3355.1,,585.2,,517.3,,639.3,,1647.5,,1468.9,,1746.6,,591.0,,1975.1,,604.2,,710.7,,1562.0,,443.2,,237.1,,722.3,,631.4,,815.8,,137.3,984.5,,918.7,,298.7,3062.0,,2038.6,,380.0,,1690.1,,1014.1,,3016.1,,1049.1,,2700.3,,852.3,,1056.5,,1249.6,,1504.7,,525.7,,209.0,51.0,1282.6,,340.7,,51.4,23.2,452.4,,539.9,,454.6,,639.6,,334.7,,935.6,,330.3,,1038.1,,252.0,,49.3,,22.8,2368.2,,625.7,,2183.9,,1208.6,,587.7,,20.8,5340.6,,1719.4,,6167.8,,282.0,,2077.6,3939.9,,3772.8,,2379.9,,1591.2,,328.6,,88.9,,1104.5,,1698.9,,7555.4,,1135.5,,1165.7,,2389.1,,19539.0
1997-07-01,122941.0,103278.0,84304.0,23886.0,79392.0,144.1,,249.5,,177.7,,1435.4,,824.9,,3552.6,,597.8,,525.7,,638.8,,1695.8,,1495.9,,1803.3,,586.3,,2027.6,,615.5,,718.2,,1557.9,,436.2,,236.4,,680.8,,630.6,,821.1,,136.0,986.8,,932.7,,295.8,3158.7,,2070.7,,392.2,,1728.0,,1050.1,,3043.6,,1079.9,,2702.4,,879.9,,1064.8,,1265.9,,1562.7,,542.0,,202.2,50.7,1308.5,,351.9,,49.7,24.5,480.6,,546.0,,464.4,,620.9,,353.0,,965.2,,336.5,,1108.0,,268.4,,52.3,,22.1,2433.6,,674.5,,2248.8,,1243.8,,609.5,,22.6,5657.5,,1748.5,,6689.4,,290.5,,2155.0,4093.0,,3821.6,,2443.4,,1671.5,,349.6,,93.8,,1156.5,,1729.5,,7688.5,,1169.4,,1180.4,,2474.9,,19664.0
