date,FL103165005.Q,FL103168005.Q,FL103170005.Q,FL103178005.Q,FL103193005.Q,FL103196005.Q,FL104122005.Q,FL104122085.Q,FL104123005.Q,FL104135005.Q,FL104140005.Q,FL104141005.Q,FL104142005.Q,FL104150005.Q,FL104190005.Q,FL104190085.Q,FL113165005.Q,FL113168005.Q,FL113170005.Q,FL113196005.Q,FL114123005.Q,FL114135005.Q,FL114141005.Q,FL114142005.Q,FL114190005.Q,FL114190085.Q,FL103178013.Q,FL113170003.Q,FL113178003.Q,FL103190005.Q,FL113193003.Q,FL103169005.Q,FL113169005.Q,FL104104005.Q,FL114104005.Q,FL103163003.Q
1988-01-01,255709.0,529046.0,524786.0,48823.0,1393891.0,1967500.0,1011324.0,1015440.0,1115255.0,1178517.0,933053.0,859546.0,318971.0,1506662.0,4277084.0,4247624.0,840084.0,142092.0,60292.0,213868.0,1083586.0,1084286.0,243502.0,840784.0,1298154.0,2774467.0,0.0,51681.0,24369.0,1513634.0,129207.0,330501.0,101409.0,2126579.0,1083586.0,809612.0
1988-04-01,257010.0,545422.0,534527.0,46307.0,1393354.0,1974188.0,1047566.0,1051307.0,1138667.0,1204945.0,959504.0,881657.0,323288.0,1540338.0,4343457.0,4360599.0,859790.0,146079.0,57996.0,216599.0,1109191.0,1109925.0,249401.0,860524.0,1326524.0,2809542.0,0.0,52088.0,25051.0,1510112.0,133552.0,336235.0,103322.0,2186233.0,1109191.0,840675.0
1988-07-01,252813.0,546270.0,531229.0,45149.0,1413988.0,1990366.0,1074802.0,1078651.0,1143547.0,1213867.0,971037.0,890734.0,323133.0,1547415.0,4427547.0,4373677.0,879182.0,148503.0,57922.0,221680.0,1133922.0,1134705.0,254740.0,879965.0,1356385.0,2839585.0,0.0,52498.0,25860.0,1562500.0,137898.0,344464.0,106237.0,2218349.0,1133922.0,865654.0
1988-10-01,265393.0,568300.0,576096.0,44371.0,1503266.0,2123733.0,1102799.0,1103574.0,1186962.0,1263413.0,1007245.0,921569.0,341844.0,1627712.0,4651419.0,4609679.0,898139.0,149960.0,63925.0,232929.0,1149256.0,1150660.0,251117.0,899543.0,1383590.0,2877315.0,0.0,53288.0,26761.0,1664740.0,142243.0,353269.0,101157.0,2289761.0,1149256.0,887232.0
1989-01-01,277069.0,571690.0,577312.0,49134.0,1604302.0,2230748.0,1127636.0,1128011.0,1222755.0,1311673.0,1041833.0,945686.0,365987.0,1668279.0,4818619.0,4825602.0,905411.0,151423.0,65171.0,240484.0,1160370.0,1162076.0,254960.0,907117.0,1402560.0,2918802.0,0.0,54479.0,27852.0,1752864.0,147461.0,373997.0,103536.0,2350391.0,1160370.0,901803.0
1989-04-01,279281.0,580685.0,581921.0,43378.0,1592530.0,2217829.0,1162621.0,1164844.0,1250365.0,1342925.0,1081143.0,971084.0,371841.0,1706442.0,4856300.0,4977610.0,913665.0,156759.0,64939.0,246852.0,1175608.0,1177462.0,261944.0,915519.0,1424315.0,2955501.0,0.0,56089.0,29234.0,1725455.0,152679.0,390399.0,105185.0,2412986.0,1175608.0,923201.0
1989-07-01,280390.0,584252.0,577571.0,42076.0,1629189.0,2248836.0,1181428.0,1183213.0,1252171.0,1345042.0,1085054.0,971781.0,373261.0,1704701.0,4872931.0,5213851.0,922950.0,160650.0,66361.0,254801.0,1187455.0,1189266.0,264505.0,924761.0,1444067.0,2970577.0,0.0,57663.0,30543.0,1726814.0,157897.0,387529.0,103855.0,2433599.0,1187455.0,939038.0
1989-10-01,273343.0,608345.0,597901.0,38289.0,1609999.0,2246189.0,1197917.0,1203681.0,1284119.0,1380306.0,1117887.0,1010775.0,369530.0,1754077.0,4939677.0,5377631.0,929594.0,162723.0,66469.0,261002.0,1197882.0,1199967.0,268289.0,931679.0,1460969.0,3001003.0,0.0,58747.0,31417.0,1725264.0,163116.0,402431.0,105565.0,2482036.0,1197882.0,961079.0
1990-01-01,289157.0,602120.0,588308.0,42256.0,1603858.0,2234422.0,1222979.0,1227725.0,1316096.0,1414920.0,1152973.0,1026939.0,387981.0,1783537.0,5027324.0,5293020.0,931544.0,162736.0,67828.0,261904.0,1201249.0,1203368.0,269705.0,933663.0,1465272.0,3020842.0,0.0,59413.0,31781.0,1758861.0,162295.0,424819.0,106969.0,2539075.0,1201249.0,967962.0
1990-04-01,292922.0,604890.0,593497.0,37130.0,1574302.0,2204929.0,1242767.0,1247955.0,1336469.0,1438006.0,1172206.0,1043547.0,394459.0,1802833.0,5014239.0,5379386.0,930412.0,165597.0,67270.0,260607.0,1202302.0,1204488.0,271890.0,932598.0,1465094.0,3050535.0,0.0,59733.0,31863.0,1702839.0,161474.0,438658.0,106292.0,2579236.0,1202302.0,984418.0
