,industry_code,naics_code,publishing_status,industry_name,display_level,selectable,sort_sequence,series_id,supersector_code,data_type_code,seasonal,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
21,10211000,211,A,Oil and gas extraction,4.0,T,9.0,CEU1021100001,10,1,U,"All employees, thousands, oil and gas extraction, not seasonally adjusted",,1972,M01,2023,M10
23,10211000,211,A,Oil and gas extraction,4.0,T,9.0,CEU1021100003,10,3,U,"Average hourly earnings of all employees, oil and gas extraction, not seasonally adjusted",,2006,M03,2023,M09
63,10212000,212,A,Mining (except oil and gas),4.0,T,10.0,CEU1021200001,10,1,U,"All employees, thousands, mining (except oil and gas), not seasonally adjusted",,1990,M01,2023,M10
65,10212000,212,A,Mining (except oil and gas),4.0,T,10.0,CEU1021200003,10,3,U,"Average hourly earnings of all employees, mining (except oil and gas), not seasonally adjusted",,2006,M03,2023,M09
105,10213000,213,A,Support activities for mining,4.0,T,22.0,CEU1021300001,10,1,U,"All employees, thousands, support activities for mining, not seasonally adjusted",,1990,M01,2023,M10
107,10213000,213,A,Support activities for mining,4.0,T,22.0,CEU1021300003,10,3,U,"Average hourly earnings of all employees, support activities for mining, not seasonally adjusted",,2006,M03,2023,M09
147,20236000,236,A,Construction of buildings,4.0,T,25.0,CEU2023600001,20,1,U,"All employees, thousands, construction of buildings, not seasonally adjusted",,1990,M01,2023,M10
149,20236000,236,A,Construction of buildings,4.0,T,25.0,CEU2023600003,20,3,U,"Average hourly earnings of all employees, construction of buildings, not seasonally adjusted",,2006,M03,2023,M09
189,20237000,237,A,Heavy and civil engineering construction,4.0,T,34.0,CEU2023700001,20,1,U,"All employees, thousands, heavy and civil engineering construction, not seasonally adjusted",,1990,M01,2023,M10
191,20237000,237,A,Heavy and civil engineering construction,4.0,T,34.0,CEU2023700003,20,3,U,"Average hourly earnings of all employees, heavy and civil engineering construction, not seasonally adjusted",,2006,M03,2023,M09
231,20238000,238,A,Specialty trade contractors,4.0,T,42.0,CEU2023800001,20,1,U,"All employees, thousands, specialty trade contractors, not seasonally adjusted",,1976,M01,2023,M10
233,20238000,238,A,Specialty trade contractors,4.0,T,42.0,CEU2023800003,20,3,U,"Average hourly earnings of all employees, specialty trade contractors, not seasonally adjusted",,2006,M03,2023,M09
279,31321000,321,AO,Wood product manufacturing,4.0,T,78.0,CEU3132100001,31,1,U,"All employees, thousands, wood product manufacturing, not seasonally adjusted",,1990,M01,2023,M10
281,31321000,321,AO,Wood product manufacturing,4.0,T,78.0,CEU3132100003,31,3,U,"Average hourly earnings of all employees, wood product manufacturing, not seasonally adjusted",,2006,M03,2023,M10
333,31327000,327,AO,Nonmetallic mineral product manufacturing,4.0,T,87.0,CEU3132700001,31,1,U,"All employees, thousands, nonmetallic mineral product manufacturing, not seasonally adjusted",,1951,M01,2023,M10
335,31327000,327,AO,Nonmetallic mineral product manufacturing,4.0,T,87.0,CEU3132700003,31,3,U,"Average hourly earnings of all employees, nonmetallic mineral product manufacturing, not seasonally adjusted",,2006,M03,2023,M10
387,31331000,331,AO,Primary metal manufacturing,4.0,T,96.0,CEU3133100001,31,1,U,"All employees, thousands, primary metal manufacturing, not seasonally adjusted",,1990,M01,2023,M10
389,31331000,331,AO,Primary metal manufacturing,4.0,T,96.0,CEU3133100003,31,3,U,"Average hourly earnings of all employees, primary metal manufacturing, not seasonally adjusted",,2006,M03,2023,M10
441,31332000,332,AO,Fabricated metal product manufacturing,4.0,T,103.0,CEU3133200001,31,1,U,"All employees, thousands, fabricated metal product manufacturing, not seasonally adjusted",,1990,M01,2023,M10
