date,Government,Oth_Serv,FIRE,GoodsTTU
1989-01-01,0.39,1.41,0.48,1.22
1989-04-01,0.39,1.41,0.48,1.22
1989-07-01,0.39,1.41,0.48,1.22
1989-10-01,0.39,1.41,0.48,1.22
1990-01-01,0.36,0.9299999999999999,0.33,0.18000000000000002
1990-04-01,0.36,0.9299999999999999,0.33,0.18000000000000002
1990-07-01,0.36,0.9299999999999999,0.33,0.18000000000000002
1990-10-01,0.36,0.9299999999999999,0.33,0.18000000000000002
1991-01-01,0.07,-0.29,0.3,-0.14
1991-04-01,0.07,-0.29,0.3,-0.14
1991-07-01,0.07,-0.29,0.3,-0.14
1991-10-01,0.07,-0.29,0.3,-0.14
1992-01-01,0.13,0.8499999999999998,0.67,1.8
1992-04-01,0.13,0.8499999999999998,0.67,1.8
1992-07-01,0.13,0.8499999999999998,0.67,1.8
1992-10-01,0.13,0.8499999999999998,0.67,1.8
1993-01-01,0.03,0.8299999999999998,0.51,1.29
1993-04-01,0.03,0.8299999999999998,0.51,1.29
1993-07-01,0.03,0.8299999999999998,0.51,1.29
1993-10-01,0.03,0.8299999999999998,0.51,1.29
1994-01-01,0.08,0.8200000000000001,0.45,2.6
1994-04-01,0.08,0.8200000000000001,0.45,2.6
1994-07-01,0.08,0.8200000000000001,0.45,2.6
1994-10-01,0.08,0.8200000000000001,0.45,2.6
1995-01-01,0.01,0.7899999999999998,0.53,0.91
1995-04-01,0.01,0.7899999999999998,0.53,0.91
1995-07-01,0.01,0.7899999999999998,0.53,0.91
1995-10-01,0.01,0.7899999999999998,0.53,0.91
1996-01-01,0.06,1.15,0.44,2.41
1996-04-01,0.06,1.15,0.44,2.41
1996-07-01,0.06,1.15,0.44,2.41
1996-10-01,0.06,1.15,0.44,2.41
1997-01-01,0.19,1.0799999999999998,1.05,2.59
1997-04-01,0.19,1.0799999999999998,1.05,2.59
1997-07-01,0.19,1.0799999999999998,1.05,2.59
1997-10-01,0.19,1.0799999999999998,1.05,2.59
1998-01-01,0.16,1.1800000000000002,0.82,2.14
1998-04-01,0.16,1.1800000000000002,0.82,2.14
1998-07-01,0.16,1.1800000000000002,0.82,2.14
1998-10-01,0.16,1.1800000000000002,0.82,2.14
1999-01-01,0.16,1.5000000000000002,1.18,1.82
1999-04-01,0.16,1.5000000000000002,1.18,1.82
1999-07-01,0.16,1.5000000000000002,1.18,1.82
1999-10-01,0.16,1.5000000000000002,1.18,1.82
