date,Median,Average,Productivity
1989-10-01,100,100,100
1990-01-01,99.829,100.056,100.407
1990-04-01,99.5602,100.25,100.763
1990-07-01,98.8647,100.222,101.113
1990-10-01,98.0798,100.01,101.293
1991-01-01,97.9432,100.017,101.212
1991-04-01,97.4425,100.062,101.298
1991-07-01,97.4453,100.207,101.451
1991-10-01,97.4264,100.492,101.83
1992-01-01,97.3164,100.667,102.441
1992-04-01,97.3079,100.728,102.994
1992-07-01,97.2765,100.718,103.636
1992-10-01,97.2182,100.747,104.521
1993-01-01,97.0417,100.779,105.054
1993-04-01,97.3668,100.806,105.365
1993-07-01,97.8253,100.991,105.384
1993-10-01,98.3133,101.164,105.311
1994-01-01,98.9098,101.318,105.471
1994-04-01,98.8789,101.57,105.931
1994-07-01,98.3741,101.708,106.434
1994-10-01,97.9044,101.868,106.811
1995-01-01,97.5598,102.065,107.053
1995-04-01,97.3461,102.249,107.027
1995-07-01,97.549,102.507,107.133
1995-10-01,97.7482,102.768,107.275
1996-01-01,97.6881,103.077,107.55
1996-04-01,97.7263,103.358,108.085
1996-07-01,97.6873,103.63,108.535
1996-10-01,97.7329,103.869,109.013
1997-01-01,97.7545,104.096,109.347
1997-04-01,97.835,104.461,109.648
1997-07-01,97.851,104.898,110.103
1997-10-01,97.9211,105.528,110.539
1998-01-01,98.488,106.269,111.16
1998-04-01,99.0141,107.025,111.638
1998-07-01,99.8676,107.868,112.165
1998-10-01,100.779,108.651,112.894
1999-01-01,101.13,109.279,113.668
1999-04-01,101.9,109.863,114.512
1999-07-01,102.178,110.342,115.318
1999-10-01,102.712,110.753,116.084
2000-01-01,103.571,111.19,116.5
2000-04-01,103.746,111.61,117.236
2000-07-01,104.27,111.962,117.794
2000-10-01,104.274,112.285,118.157
2001-01-01,104.211,112.65,118.474
2001-04-01,104.458,113.009,118.687
2001-07-01,104.621,113.545,118.923
2001-10-01,105.003,114.257,119.374
2002-01-01,105.485,115.02,120.233
2002-04-01,105.808,115.697,120.824
2002-07-01,105.921,116.157,121.499
2002-10-01,105.855,116.378,121.896
2003-01-01,105.523,116.493,122.264
2003-04-01,105.451,116.726,122.796
2003-07-01,105.518,116.975,123.823
2003-10-01,105.495,117.214,125.024
2004-01-01,105.509,117.366,126.075
2004-04-01,105.701,117.332,127.072
2004-07-01,105.505,117.341,127.645
2004-10-01,105.436,117.241,128.214
2005-01-01,105.5,117.192,128.983
2005-04-01,104.917,117.151,129.387
2005-07-01,104.611,116.904,129.645
2005-10-01,104.327,116.76,129.86
2006-01-01,103.906,116.629,130.108
2006-04-01,103.478,116.494,130.313
2006-07-01,103.668,116.573,130.351
2006-10-01,103.973,116.94,130.34
2007-01-01,104.265,117.285,130.141
2007-04-01,104.855,117.63,130.397
2007-07-01,105.01,117.955,130.907
2007-10-01,104.699,117.956,131.412
2008-01-01,104.74,117.922,131.688
2008-04-01,104.702,117.871,132.024
2008-07-01,104.386,117.641,132.299
2008-10-01,104.97,118.071,132.043
2009-01-01,105.739,118.805,132.187
2009-04-01,106.654,119.57,132.815
2009-07-01,107.629,120.359,133.679
2009-10-01,108.036,120.414,135.513
2010-01-01,107.897,120.202,137.057
2010-04-01,107.551,120.061,137.995
2010-07-01,107.402,120.067,138.889
2010-10-01,107.079,120.138,139.443
2011-01-01,106.71,120.044,139.72
2011-04-01,106.21,119.73,140.061
2011-07-01,105.677,119.333,140.041
2011-10-01,105.202,119,139.938
2012-01-01,104.784,118.772,140.255
2012-04-01,104.871,118.76,140.355
2012-07-01,104.676,118.798,140.426
2012-10-01,104.685,118.766,140.138
2013-01-01,104.358,118.824,140.149
2013-04-01,104.148,118.936,140
2013-07-01,104.167,119.036,140.112
2013-10-01,104.244,119.241,140.823
2014-01-01,104.798,119.337,140.64
2014-04-01,104.476,119.362,140.875
2014-07-01,104.604,119.526,141.321
2014-10-01,104.485,119.838,141.292
2015-01-01,104.754,120.547,141.992
2015-04-01,105.363,121.137,142.409
2015-07-01,105.34,121.68,142.653
2015-10-01,106.081,122.231,142.786
