date,A124RC,GOODS,SERVICES,INCOME,TRANSFERS
1989-01-01,-1.94,-2.2,0.37,0.41,-0.51
1989-04-01,-1.67,-1.98,0.41,0.39,-0.48
1989-07-01,-1.43,-1.73,0.41,0.43,-0.54
1989-10-01,-1.52,-1.9,0.46,0.54,-0.62
1990-01-01,-1.53,-1.94,0.44,0.5,-0.53
1990-04-01,-1.22,-1.6,0.44,0.53,-0.6
1990-07-01,-1.37,-1.66,0.42,0.45,-0.57
1990-10-01,-0.9,-1.83,0.51,0.84,-0.43
1991-01-01,0.77,-1.26,0.48,0.65,0.9
1991-04-01,0.24,-1.04,0.66,0.47,0.15
1991-07-01,-0.21,-1.11,0.77,0.4,-0.27
1991-10-01,-0.27,-1.17,0.8,0.53,-0.43
1992-01-01,-0.34,-1.16,0.84,0.51,-0.53
1992-04-01,-0.61,-1.38,0.87,0.5,-0.6
1992-07-01,-0.8,-1.42,0.83,0.44,-0.66
1992-10-01,-1.02,-1.53,0.83,0.45,-0.77
1993-01-01,-0.85,-1.72,0.89,0.55,-0.58
1993-04-01,-1.09,-1.81,0.88,0.45,-0.62
1993-07-01,-1.12,-1.88,0.89,0.53,-0.66
1993-10-01,-1.54,-1.88,0.83,0.29,-0.79
1994-01-01,-1.31,-2.01,0.88,0.38,-0.56
1994-04-01,-1.51,-2.16,0.91,0.32,-0.57
1994-07-01,-1.66,-2.21,0.89,0.29,-0.63
1994-10-01,-1.86,-2.31,0.94,0.27,-0.76
1995-01-01,-1.58,-2.31,0.91,0.4,-0.58
1995-04-01,-1.57,-2.39,0.94,0.43,-0.56
1995-07-01,-1.3,-2.0,1.04,0.25,-0.58
1995-10-01,-1.09,-1.94,1.05,0.39,-0.59
1996-01-01,-1.31,-2.13,1.0,0.47,-0.65
1996-04-01,-1.36,-2.21,1.04,0.36,-0.56
1996-07-01,-1.64,-2.31,0.91,0.32,-0.56
1996-10-01,-1.38,-2.2,1.13,0.38,-0.69
1997-01-01,-1.58,-2.3,1.0,0.28,-0.55
1997-04-01,-1.2,-2.01,1.01,0.36,-0.56
1997-07-01,-1.42,-2.09,0.97,0.27,-0.57
1997-10-01,-1.87,-2.27,0.93,0.19,-0.72
1998-01-01,-1.86,-2.4,0.87,0.29,-0.62
1998-04-01,-2.19,-2.71,0.9,0.25,-0.63
1998-07-01,-2.46,-2.7,0.78,0.1,-0.65
1998-10-01,-2.54,-2.7,0.78,0.13,-0.75
1999-01-01,-2.49,-3.09,0.83,0.28,-0.87
1999-04-01,-2.75,-3.43,0.83,0.32,-0.9
1999-07-01,-3.03,-3.71,0.86,0.3,-0.86
1999-10-01,-3.2,-3.85,0.8,0.39,-0.92
2000-01-01,-3.7,-4.32,0.76,0.33,-0.88
2000-04-01,-3.7,-4.33,0.79,0.35,-0.9
2000-07-01,-4.04,-4.5,0.68,0.3,-0.92
2000-10-01,-4.03,-4.64,0.7,0.52,-1.02
2001-01-01,-4.05,-4.48,0.64,0.38,-0.99
2001-04-01,-3.58,-4.05,0.61,0.46,-1.02
2001-07-01,-3.89,-4.07,0.57,0.24,-1.05
2001-10-01,-3.29,-3.91,0.44,0.82,-1.1
2002-01-01,-3.75,-4.04,0.46,0.46,-1.1
2002-04-01,-4.19,-4.46,0.52,0.28,-1.05
2002-07-01,-4.2,-4.59,0.51,0.4,-1.06
2002-10-01,-4.51,-4.92,0.43,0.53,-1.12
2003-01-01,-4.89,-5.05,0.35,0.39,-1.12
2003-04-01,-4.65,-5.0,0.4,0.5,-1.15
2003-07-01,-4.55,-4.85,0.37,0.47,-1.12
2003-10-01,-4.34,-4.84,0.4,0.68,-1.15
2004-01-01,-4.6,-5.18,0.43,0.82,-1.21
2004-04-01,-5.16,-5.56,0.46,0.6,-1.17
2004-07-01,-5.28,-5.67,0.37,0.66,-1.15
2004-10-01,-5.81,-6.01,0.42,0.43,-1.22
2005-01-01,-5.39,-5.94,0.49,0.68,-1.26
2005-04-01,-5.59,-5.96,0.49,0.58,-1.15
2005-07-01,-5.74,-6.18,0.46,0.63,-1.19
2005-10-01,-6.3,-6.55,0.51,0.41,-1.19
2006-01-01,-5.9,-6.29,0.47,0.41,-1.08
2006-04-01,-6.03,-6.29,0.52,0.36,-1.14
2006-07-01,-6.31,-6.43,0.5,0.26,-1.13
2006-10-01,-5.49,-5.82,0.57,0.31,-1.11
2007-01-01,-5.67,-5.86,0.66,0.3,-1.24
2007-04-01,-5.41,-5.86,0.68,0.42,-1.15
2007-07-01,-4.87,-5.76,0.76,0.81,-1.2
2007-10-01,-4.55,-5.82,0.86,1.09,-1.26
2008-01-01,-5.0,-6.06,0.82,1.03,-1.33
2008-04-01,-4.92,-6.1,0.88,1.06,-1.33
2008-07-01,-4.83,-6.06,0.78,1.19,-1.32
2008-10-01,-4.32,-4.98,0.68,0.66,-1.39
2009-01-01,-2.79,-3.59,0.67,0.84,-1.37
2009-04-01,-2.47,-3.26,0.77,0.85,-1.46
2009-07-01,-2.54,-3.73,0.8,1.26,-1.46
2009-10-01,-2.79,-4.07,0.84,1.2,-1.36
2010-01-01,-2.86,-4.32,0.87,1.38,-1.4
2010-04-01,-2.96,-4.51,0.89,1.38,-1.38
2010-07-01,-3.12,-4.62,0.96,1.31,-1.41
2010-10-01,-2.75,-4.47,1.05,1.39,-1.39
2011-01-01,-3.1,-4.85,1.15,1.45,-1.5
2011-04-01,-3.07,-4.9,1.17,1.43,-1.44
2011-07-01,-2.79,-4.86,1.23,1.57,-1.42
