date,A124RC,GOODS,SERVICES,INCOME,TRANSFERS
1989-01-01,-1.94,-2.2,0.37,0.41,-0.51
1989-04-01,-1.67,-1.98,0.41,0.39,-0.48
1989-07-01,-1.43,-1.73,0.41,0.43,-0.54
1989-10-01,-1.52,-1.9,0.46,0.54,-0.62
1990-01-01,-1.53,-1.94,0.44,0.5,-0.53
1990-04-01,-1.22,-1.6,0.44,0.53,-0.6
1990-07-01,-1.37,-1.66,0.42,0.45,-0.57
1990-10-01,-0.9,-1.83,0.51,0.84,-0.43
1991-01-01,0.77,-1.26,0.48,0.65,0.9
1991-04-01,0.24,-1.04,0.66,0.47,0.15
1991-07-01,-0.21,-1.11,0.77,0.4,-0.27
1991-10-01,-0.27,-1.17,0.8,0.53,-0.43
1992-01-01,-0.34,-1.16,0.84,0.51,-0.53
1992-04-01,-0.61,-1.38,0.87,0.5,-0.6
1992-07-01,-0.8,-1.42,0.83,0.44,-0.66
1992-10-01,-1.02,-1.53,0.83,0.45,-0.77
1993-01-01,-0.85,-1.72,0.89,0.55,-0.58
1993-04-01,-1.09,-1.81,0.88,0.45,-0.62
1993-07-01,-1.12,-1.88,0.89,0.53,-0.66
1993-10-01,-1.54,-1.88,0.83,0.29,-0.79
1994-01-01,-1.31,-2.01,0.88,0.38,-0.56
1994-04-01,-1.51,-2.16,0.91,0.32,-0.57
1994-07-01,-1.66,-2.21,0.89,0.29,-0.63
1994-10-01,-1.86,-2.31,0.94,0.27,-0.76
1995-01-01,-1.58,-2.31,0.91,0.4,-0.58
1995-04-01,-1.57,-2.39,0.94,0.43,-0.56
1995-07-01,-1.3,-2.0,1.04,0.25,-0.58
1995-10-01,-1.09,-1.94,1.05,0.39,-0.59
1996-01-01,-1.31,-2.13,1.0,0.47,-0.65
1996-04-01,-1.36,-2.21,1.04,0.36,-0.56
1996-07-01,-1.64,-2.31,0.91,0.32,-0.56
1996-10-01,-1.38,-2.2,1.13,0.38,-0.69
1997-01-01,-1.58,-2.3,1.0,0.28,-0.55
1997-04-01,-1.2,-2.01,1.01,0.36,-0.56
1997-07-01,-1.42,-2.09,0.97,0.27,-0.57
1997-10-01,-1.87,-2.27,0.93,0.19,-0.72
1998-01-01,-1.86,-2.4,0.87,0.29,-0.62
1998-04-01,-2.19,-2.71,0.9,0.25,-0.63
1998-07-01,-2.46,-2.7,0.78,0.1,-0.65
1998-10-01,-2.54,-2.7,0.78,0.13,-0.75
1999-01-01,-2.48,-3.08,0.88,0.22,-0.87
1999-04-01,-2.76,-3.44,0.87,0.27,-0.89
1999-07-01,-3.08,-3.73,0.89,0.23,-0.87
1999-10-01,-3.21,-3.83,0.84,0.33,-0.95
2000-01-01,-3.71,-4.32,0.8,0.29,-0.89
2000-04-01,-3.7,-4.3,0.8,0.31,-0.9
2000-07-01,-4.03,-4.47,0.71,0.26,-0.94
2000-10-01,-4.02,-4.62,0.77,0.5,-1.08
2001-01-01,-3.94,-4.44,0.71,0.36,-0.98
2001-04-01,-3.52,-4.01,0.63,0.44,-1.0
2001-07-01,-3.85,-4.04,0.58,0.22,-1.05
2001-10-01,-3.18,-3.86,0.52,0.82,-1.1
2002-01-01,-3.68,-3.99,0.54,0.45,-1.16
2002-04-01,-4.08,-4.4,0.58,0.27,-1.04
2002-07-01,-4.06,-4.52,0.58,0.4,-1.06
2002-10-01,-4.38,-4.83,0.49,0.53,-1.13
2003-01-01,-4.76,-4.97,0.45,0.39,-1.17
2003-04-01,-4.53,-4.9,0.47,0.49,-1.19
2003-07-01,-4.44,-4.75,0.42,0.47,-1.17
2003-10-01,-4.2,-4.74,0.45,0.68,-1.17
2004-01-01,-4.54,-5.11,0.51,0.83,-1.3
2004-04-01,-5.08,-5.49,0.47,0.61,-1.18
2004-07-01,-5.14,-5.62,0.45,0.68,-1.16
2004-10-01,-5.68,-5.95,0.49,0.46,-1.25
2005-01-01,-5.29,-5.88,0.59,0.7,-1.34
2005-04-01,-5.47,-5.88,0.53,0.6,-1.19
2005-07-01,-5.61,-6.1,0.53,0.66,-1.24
2005-10-01,-6.22,-6.47,0.57,0.43,-1.28
2006-01-01,-5.79,-6.22,0.51,0.43,-1.1
2006-04-01,-5.91,-6.25,0.57,0.39,-1.15
2006-07-01,-6.19,-6.38,0.57,0.29,-1.16
2006-10-01,-5.33,-5.78,0.65,0.36,-1.12
2007-01-01,-5.57,-5.83,0.73,0.37,-1.29
2007-04-01,-5.22,-5.84,0.75,0.52,-1.14
2007-07-01,-4.66,-5.75,0.84,0.91,-1.2
2007-10-01,-4.25,-5.8,1.0,1.21,-1.27
2008-01-01,-4.94,-6.04,0.88,1.1,-1.41
2008-04-01,-4.79,-6.08,0.96,1.12,-1.36
2008-07-01,-4.71,-6.05,0.85,1.25,-1.35
2008-10-01,-4.14,-4.97,0.81,0.73,-1.44
2009-01-01,-2.68,-3.58,0.83,0.81,-1.4
2009-04-01,-2.42,-3.24,0.88,0.8,-1.52
2009-07-01,-2.5,-3.71,0.9,1.19,-1.49
2009-10-01,-2.69,-4.04,1.0,1.12,-1.39
2010-01-01,-2.89,-4.29,0.97,1.32,-1.48
2010-04-01,-2.92,-4.48,1.0,1.31,-1.4
2010-07-01,-3.08,-4.62,1.07,1.25,-1.42
2010-10-01,-2.77,-4.54,1.18,1.34,-1.41
2011-01-01,-3.1,-4.95,1.28,1.42,-1.51
2011-04-01,-3.13,-5.03,1.28,1.42,-1.48
2011-07-01,-2.86,-4.99,1.31,1.57,-1.42
