date,MenLFPR,WomenLFPR,TotLFPR
1989-01-01,76.4,57.5,66.46592402663161
1989-02-01,76.3,57.1,66.28107892796203
1989-03-01,76.3,57.2,66.28778301962916
1989-04-01,76.5,57.3,66.42422483120457
1989-05-01,76.3,57.3,66.31933441113756
1989-06-01,76.7,57.3,66.54627030682288
1989-07-01,76.5,57.4,66.47630078881186
1989-08-01,76.5,57.5,66.54197794188576
1989-09-01,76.1,57.5,66.3774728746934
1989-10-01,76.5,57.4,66.46884749372562
1989-11-01,76.4,57.8,66.64474352598961
1989-12-01,76.4,57.5,66.51724414286859
1990-01-01,76.7,57.7,66.78573134550165
1990-02-01,76.6,57.6,66.68399499246749
1990-03-01,76.6,57.6,66.69193659545142
1990-04-01,76.4,57.5,66.55913294981407
1990-05-01,76.4,57.7,66.64072880108833
1990-06-01,76.3,57.4,66.42035777380487
1990-07-01,76.3,57.5,66.45876059792376
1990-08-01,76.3,57.6,66.54096819511783
1990-09-01,76.1,57.6,66.42395846523996
1990-10-01,76.2,57.4,66.41452743661378
1990-11-01,76.3,57.4,66.3973624336395
1990-12-01,76.3,57.3,66.3845866422478
1991-01-01,76.0,57.3,66.2352823630254
1991-02-01,75.9,57.4,66.2318482585365
1991-03-01,76.1,57.3,66.30808746671148
1991-04-01,76.0,57.6,66.42346877181564
1991-05-01,75.8,57.4,66.18200891686337
1991-06-01,75.8,57.4,66.21121593291404
1991-07-01,75.8,57.2,66.06789354058216
1991-08-01,75.6,57.2,66.00703237824148
1991-09-01,75.8,57.4,66.20422159726506
1991-10-01,75.6,57.5,66.13262870958813
1991-11-01,75.5,57.5,66.10820371810057
1991-12-01,75.4,57.5,66.0403132462278
1992-01-01,75.7,57.7,66.29800003125766
1992-02-01,75.6,57.7,66.23053413652528
1992-03-01,75.8,57.8,66.3898774219059
1992-04-01,75.8,57.9,66.4613161150795
1992-05-01,76.1,57.8,66.55428746564989
1992-06-01,76.2,57.9,66.67549036400347
1992-07-01,76.0,58.1,66.67306276124589
1992-08-01,76.0,58.0,66.63264565999026
1992-09-01,75.9,57.8,66.50192258925938
1992-10-01,75.6,57.6,66.18314533555278
1992-11-01,75.6,57.8,66.33629616622164
1992-12-01,75.5,57.9,66.33881022169012
1993-01-01,75.4,57.7,66.19853373341171
1993-02-01,75.4,57.7,66.17862221031591
1993-03-01,75.6,57.6,66.202998229068
1993-04-01,75.4,57.7,66.1447134229776
1993-05-01,75.6,58.0,66.44290127422911
1993-06-01,75.7,58.0,66.46038650568255
1993-07-01,75.7,57.9,66.39761496700568
1993-08-01,75.7,58.0,66.44981364994898
1993-09-01,75.2,57.9,66.20335042174752
1993-10-01,75.3,58.1,66.29673973107386
1993-11-01,75.1,58.2,66.30594249201278
1993-12-01,75.0,58.4,66.36618078184215
1994-01-01,75.3,58.7,66.64659382607053
1994-02-01,75.1,58.8,66.6372584017543
1994-03-01,74.9,58.7,66.45838960721257
1994-04-01,74.9,58.8,66.52016927832636
1994-05-01,74.8,58.9,66.55081166352858
1994-06-01,74.7,58.7,66.37806124264716
1994-07-01,74.8,58.6,66.36831437729542
1994-08-01,75.0,58.9,66.62251386753145
1994-09-01,75.0,58.9,66.62729153147306
1994-10-01,75.2,58.9,66.72947373752723
1994-11-01,75.2,58.9,66.74409307362593
1994-12-01,75.4,58.7,66.72110838621596
1995-01-01,75.4,58.8,66.76915141616057
1995-02-01,75.4,58.8,66.76318688537845
1995-03-01,75.3,58.8,66.71885337387063
1995-04-01,75.3,59.2,66.91462946888184
1995-05-01,74.9,58.8,66.49536528045348
1995-06-01,75.0,58.7,66.48879079681335
1995-07-01,74.9,59.1,66.63293306145054
1995-08-01,74.8,59.0,66.56706958214495
1995-09-01,75.0,59.0,66.6370191703726
1995-10-01,74.7,59.2,66.6271737820796
1995-11-01,74.6,59.1,66.52153194050814
1995-12-01,74.6,58.9,66.41889047055757
1996-01-01,74.6,58.9,66.42956610597393
1996-02-01,74.9,58.9,66.55153599335245
1996-03-01,74.9,59.0,66.6163134438103
1996-04-01,74.9,59.1,66.67083123022873
1996-05-01,75.0,59.1,66.74073038476519
1996-06-01,75.0,59.0,66.69543397901815
1996-07-01,75.2,59.3,66.92749737092618
1996-08-01,74.8,59.3,66.74433772971466
1996-09-01,75.0,59.5,66.90258180353226
1996-10-01,75.1,59.6,67.0338296741242
1996-11-01,74.9,59.8,67.01329772712607
1996-12-01,74.8,59.8,67.00837152095855
1997-01-01,74.9,59.6,66.96294831549547
1997-02-01,74.9,59.5,66.90086911838094
1997-03-01,75.0,59.8,67.10235886091263
1997-04-01,75.1,59.7,67.11072954597037
1997-05-01,75.0,59.8,67.10923325707975
1997-06-01,75.0,59.7,67.09901477832513
1997-07-01,75.0,60.0,67.1751178838979
1997-08-01,75.0,59.9,67.1790484058142
1997-09-01,74.9,60.0,67.13906764257996
1997-10-01,74.9,59.8,67.05354645256593
