date,Three-month,Two-year,Ten-year
2024-12-15,4.3566666666666665,4.193333333333333,4.326666666666667
2024-12-22,4.36,4.294,4.476
2024-12-29,4.355,4.3,4.595
2025-01-05,4.36,4.255,4.575
2025-01-12,4.351999999999999,4.306,4.682
2025-01-19,4.351999999999999,4.308,4.69
2025-01-26,4.3575,4.285,4.6125
2025-02-02,4.31,4.194,4.546
2025-02-09,4.337999999999999,4.228,4.486
2025-02-16,4.345999999999999,4.3,4.532
2025-02-23,4.3325,4.26,4.5
2025-03-02,4.311999999999999,4.062,4.296
2025-03-09,4.343999999999999,3.972,4.254
2025-03-16,4.337999999999999,3.9599999999999995,4.279999999999999
2025-03-23,4.3340000000000005,3.996,4.268
2025-03-30,4.33,3.968,4.33
2025-04-06,4.3100000000000005,3.8120000000000003,4.134
2025-04-13,4.326,3.8299999999999996,4.3260000000000005
2025-04-20,4.3325,3.815,4.34
2025-04-27,4.328,3.7659999999999996,4.368
2025-05-04,4.316,3.69,4.234
2025-05-11,4.336,3.8339999999999996,4.332
2025-05-18,4.398000000000001,3.9979999999999998,4.470000000000001
2025-05-25,4.372,3.9880000000000004,4.514
2025-06-01,4.355,3.9225,4.435
2025-06-08,4.436,3.946,4.4399999999999995
2025-06-15,4.45,3.964,4.428
2025-06-22,4.415,3.9375,4.4025
2025-06-29,4.3839999999999995,3.7520000000000002,4.296
2025-07-06,4.41,3.79,4.2875
2025-07-13,4.418,3.8839999999999995,4.388
2025-07-20,4.412000000000001,3.904,4.46
2025-07-27,4.414,3.876,4.392
2025-08-03,4.394,3.868,4.348000000000001
2025-08-10,4.33,3.7159999999999997,4.232
2025-08-17,4.311999999999999,3.728,4.284000000000001
2025-08-24,4.304,3.746,4.304
2025-08-31,4.264,3.628,4.246
2025-09-07,4.1525,3.5925,4.1925
2025-09-14,4.09,3.53,4.048
2025-09-21,4.036,3.5420000000000003,4.08
2025-09-28,4.016,3.596,4.162000000000001
2025-10-05,4.023999999999999,3.582,4.132
2025-10-12,4.018,3.5740000000000003,4.128
2025-10-19,4.0175,3.4625,4.0225
2025-10-26,3.9539999999999997,3.464,3.996
2025-11-02,3.904,3.55,4.0600000000000005
2025-11-09,3.95,3.586,4.1240000000000006
2025-11-16,3.9525,3.585,4.115
2025-11-23,3.94,3.564,4.108
2025-11-30,3.9025,3.4525,4.0175
2025-12-07,3.7439999999999998,3.524,4.098
2025-12-11,3.66,3.52,4.14
