date,SLGAssets,SLGWealth,SLGLiab,SLGHousing,FedAssets,FedWealth,FedLiab,FedLiabROW,FedLiabDomCurr,FedLiabPrivDom,FedHousing
1988-01-01,3082013.0,1685732.0,1396281.0,78805.0,1837425.0,-1356270.0,3193695.0,352321.0,3186898.0,2841374.0,38034.0
1988-04-01,3116224.0,1706846.0,1409379.0,79844.0,1851249.0,-1381704.0,3232953.0,362829.0,3226532.0,2870124.0,40568.0
1988-07-01,3151040.0,1717318.0,1433722.0,80938.0,1867630.0,-1422767.0,3290397.0,362249.0,3284075.0,2928148.0,43362.0
1988-10-01,3197193.0,1741953.0,1455240.0,81971.0,1876604.0,-1488810.0,3365414.0,375595.0,3358821.0,2989819.0,46525.0
1989-01-01,3235409.0,1746259.0,1489150.0,82847.0,1878456.0,-1544093.0,3422549.0,389224.0,3416215.0,3033325.0,47187.0
1989-04-01,3293890.0,1787968.0,1505922.0,84226.0,1909136.0,-1548155.0,3457291.0,382074.0,3451184.0,3075217.0,48272.0
1989-07-01,3344715.0,1799875.0,1544840.0,85505.0,1928463.0,-1584932.0,3513395.0,407219.0,3507125.0,3106176.0,49470.0
1989-10-01,3395053.0,1799869.0,1595184.0,86618.0,1940984.0,-1651650.0,3592634.0,445505.0,3586195.0,3147129.0,50676.0
1990-01-01,3452808.0,1810357.0,1642451.0,87614.0,1961466.0,-1703428.0,3664894.0,437176.0,3658521.0,3227718.0,50874.0
1990-04-01,3501563.0,1839893.0,1661670.0,88665.0,1984165.0,-1736924.0,3721089.0,444041.0,3714603.0,3277048.0,51115.0
1990-07-01,3543269.0,1806744.0,1736525.0,89739.0,2036796.0,-1763436.0,3800232.0,456849.0,3793409.0,3343383.0,51508.0
1990-10-01,3573196.0,1825229.0,1747967.0,90073.0,2038020.0,-1864719.0,3902739.0,462524.0,3895769.0,3440215.0,51680.0
1991-01-01,3598356.0,1852746.0,1745610.0,90438.0,2066911.0,-1900332.0,3967243.0,467813.0,3960647.0,3499430.0,51419.0
1991-04-01,3643320.0,1850098.0,1793222.0,91471.0,2078557.0,-1950516.0,4029073.0,477827.0,4022632.0,3551246.0,51146.0
1991-07-01,3688050.0,1857214.0,1830836.0,92227.0,2083123.0,-2058106.0,4141229.0,483285.0,4134526.0,3657944.0,51225.0
1991-10-01,3715990.0,1849145.0,1866845.0,92272.0,2105358.0,-2139580.0,4244938.0,501855.0,4237930.0,3743083.0,50357.0
1992-01-01,3737538.0,1803246.0,1934292.0,93266.0,2102179.0,-2242562.0,4344741.0,517097.0,4338020.0,3827644.0,50658.0
1992-04-01,3778816.0,1778094.0,2000722.0,95073.0,2122418.0,-2306609.0,4429027.0,539388.0,4422015.0,3889639.0,51194.0
1992-07-01,3809932.0,1755852.0,2054080.0,96577.0,2143294.0,-2378684.0,4521978.0,544788.0,4514762.0,3977190.0,51721.0
1992-10-01,3841760.0,1768153.0,2073607.0,98269.0,2124687.0,-2492397.0,4617084.0,547824.0,4610347.0,4069260.0,52683.0
1993-01-01,3884927.0,1793811.0,2091116.0,100252.0,2146116.0,-2549033.0,4695149.0,561909.0,4688301.0,4133240.0,53761.0
1993-04-01,3929696.0,1796928.0,2132768.0,102137.0,2176680.0,-2598788.0,4775468.0,567446.0,4768591.0,4208022.0,54649.0
1993-07-01,3952016.0,1804933.0,2147083.0,103373.0,2178544.0,-2661877.0,4840421.0,590806.0,4833472.0,4249615.0,55479.0
1993-10-01,3997568.0,1837986.0,2159582.0,105205.0,2193120.0,-2752257.0,4945377.0,623342.0,4938647.0,4322035.0,56405.0
1994-01-01,4032264.0,1828386.0,2203878.0,106891.0,2203635.0,-2810549.0,5014184.0,635001.0,5007263.0,4379183.0,57075.0
1994-04-01,4068299.0,1845361.0,2222938.0,108214.0,2202005.0,-2838831.0,5040836.0,633995.0,5033740.0,4406841.0,57811.0
1994-07-01,4121306.0,1902517.0,2218789.0,110263.0,2212922.0,-2882037.0,5094959.0,656508.0,5087770.0,4438451.0,58818.0
1994-10-01,4179854.0,1963214.0,2216640.0,112554.0,2230712.0,-2940564.0,5171276.0,663349.0,5164123.0,4507927.0,59873.0
1995-01-01,4232631.0,2048929.0,2183702.0,113930.0,2272155.0,-2981026.0,5253181.0,701422.0,5245535.0,4551759.0,60458.0
1995-04-01,4279506.0,2121853.0,2157653.0,115025.0,2292947.0,-3003730.0,5296677.0,755188.0,5288991.0,4541489.0,60928.0
1995-07-01,4324518.0,2208739.0,2115779.0,116024.0,2284622.0,-3051448.0,5336070.0,810270.0,5328690.0,4525800.0,61337.0
1995-10-01,4366319.0,2264583.0,2101736.0,117044.0,2257362.0,-3136921.0,5394283.0,847750.0,5387000.0,4546533.0,61623.0
1996-01-01,4412899.0,2324053.0,2088846.0,118647.0,2319423.0,-3164291.0,5483714.0,918794.0,5476555.0,4564920.0,62110.0
1996-04-01,4453962.0,2368497.0,2085465.0,119683.0,2293303.0,-3187609.0,5480912.0,940236.0,5473840.0,4540676.0,62560.0
1996-07-01,4507022.0,2429195.0,2077827.0,121284.0,2305231.0,-3232655.0,5537886.0,1002005.0,5530834.0,4535881.0,63289.0
1996-10-01,4570592.0,2513010.0,2057582.0,122709.0,2299305.0,-3303062.0,5602367.0,1069913.0,5595322.0,4532454.0,63759.0
1997-01-01,4641812.0,2558718.0,2083094.0,124197.0,2327535.0,-3338282.0,5665817.0,1120912.0,5659022.0,4544905.0,64165.0
1997-04-01,4734062.0,2736552.0,1997510.0,125940.0,2320164.0,-3293741.0,5613905.0,1142187.0,5607104.0,4471718.0,64661.0
1997-07-01,4804177.0,2860104.0,1944073.0,127129.0,2394060.0,-3242637.0,5636697.0,1185250.0,5630008.0,4451447.0,65282.0
1997-10-01,4894850.0,2911364.0,1983486.0,128919.0,2379401.0,-3307653.0,5687054.0,1181481.0,5680443.0,4505573.0,66021.0
1998-01-01,4989328.0,3076945.0,1912383.0,130320.0,2409868.0,-3319357.0,5729225.0,1185262.0,5722680.0,4543963.0,66393.0
1998-04-01,5069266.0,3109804.0,1959462.0,131667.0,2433959.0,-3231904.0,5665863.0,1185990.0,5659339.0,4479873.0,66954.0
1998-07-01,5154821.0,2999234.0,2155587.0,133954.0,2424803.0,-3230134.0,5654937.0,1147999.0,5648218.0,4506938.0,67868.0
1998-10-01,5279518.0,3260132.0,2019386.0,136137.0,2408005.0,-3293763.0,5701768.0,1191474.0,5694869.0,4510294.0,68686.0
1999-01-01,5365474.0,3327532.0,2037942.0,138172.0,2457775.0,-3269586.0,5727361.0,1177457.0,5720708.0,4549904.0,69487.0
1999-04-01,5464784.0,3467180.0,1997604.0,140778.0,2477371.0,-3163827.0,5641198.0,1158144.0,5634653.0,4483054.0,70495.0
1999-07-01,5538519.0,3407247.0,2131272.0,142765.0,2541886.0,-3100690.0,5642576.0,1174279.0,5635777.0,4468297.0,71293.0
1999-10-01,5658724.0,3679047.0,1979677.0,145403.0,2577586.0,-3132035.0,5709621.0,1086176.0,5702896.0,4623445.0,72197.0
2000-01-01,5756756.0,3787964.0,1968792.0,147623.0,2576329.0,-3130870.0,5707199.0,1086625.0,5700600.0,4620574.0,72977.0
2000-04-01,5859302.0,3796870.0,2062432.0,150411.0,2568687.0,-2968131.0,5536818.0,1059200.0,5530266.0,4477618.0,73860.0
2000-07-01,5939229.0,3861588.0,2077641.0,152204.0,2581689.0,-2920881.0,5502570.0,1034810.0,5496211.0,4467760.0,74578.0
2000-10-01,6008202.0,3742294.0,2265908.0,154123.0,2554569.0,-2938176.0,5492745.0,1047071.0,5486361.0,4445674.0,75254.0
2001-01-01,6098947.0,3588189.0,2510758.0,157286.0,2586704.0,-2952301.0,5539005.0,1044620.0,5532828.0,4494385.0,76339.0
2001-04-01,6191582.0,3686417.0,2505165.0,159462.0,2593664.0,-2809671.0,5403335.0,1011910.0,5397232.0,4391425.0,77207.0
2001-07-01,6232523.0,3464924.0,2767599.0,161744.0,2636236.0,-2857787.0,5494023.0,1018681.0,5487707.0,4475342.0,78233.0
2001-10-01,6338713.0,3608403.0,2730310.0,164892.0,2623350.0,-2945803.0,5569153.0,1118317.0,5562996.0,4450836.0,79138.0
2002-01-01,6406547.0,3645259.0,2761288.0,167521.0,2611584.0,-3028825.0,5640409.0,1132419.0,5634300.0,4507990.0,79728.0
2002-04-01,6483535.0,3468076.0,3015459.0,170442.0,2642370.0,-3041038.0,5683408.0,1171398.0,5676889.0,4512010.0,80615.0
2002-07-01,6542919.0,3348322.0,3194597.0,172892.0,2729724.0,-3060570.0,5790294.0,1235008.0,5783813.0,4555286.0,81432.0
2002-10-01,6634205.0,3335301.0,3298904.0,174935.0,2732450.0,-3174431.0,5906881.0,1309248.0,5900220.0,4597633.0,82470.0
2003-01-01,6717303.0,3393284.0,3324019.0,179366.0,2765921.0,-3286902.0,6052823.0,1346200.0,6046092.0,4706623.0,84203.0
2003-04-01,6823772.0,3434974.0,3388798.0,182135.0,2793453.0,-3355748.0,6149201.0,1438701.0,6142337.0,4710500.0,85191.0
2003-07-01,6904803.0,3497760.0,3407043.0,184900.0,2810584.0,-3485018.0,6295602.0,1507599.0,6288597.0,4788003.0,86248.0
