date,DPI,TOT,NFA,HRE,REQ,CDG,TFA,DEP,CEQ,NEQ,RET,NPA,DSL,TEQ,OFA,OTH
1988-01-01,3.6511e+06,2.18633e+07,8.51406e+06,6.02754e+06,4.15157e+06,1.6801e+06,1.33492e+07,3.17822e+06,1.7543e+06,2.77769e+06,6.7533e+06,806427,1.52166e+06,4.53199e+06,4.11733e+06,6.60386e+06
1988-04-01,3.73363e+06,2.23787e+07,8.75151e+06,6.21326e+06,4.27076e+06,1.71903e+06,1.36272e+07,3.20231e+06,1.85024e+06,2.81275e+06,6.95005e+06,819213,1.55702e+06,4.66299e+06,4.20491e+06,6.74316e+06
1988-07-01,3.8181e+06,2.2779e+07,8.92948e+06,6.33967e+06,4.33966e+06,1.75837e+06,1.38496e+07,3.24328e+06,1.86114e+06,2.8428e+06,7.08707e+06,831443,1.6059e+06,4.70394e+06,4.29642e+06,6.88624e+06
1988-10-01,3.8935e+06,2.33449e+07,9.09441e+06,6.44813e+06,4.39283e+06,1.80033e+06,1.42505e+07,3.30804e+06,1.97619e+06,2.87759e+06,7.20777e+06,845957,1.69321e+06,4.85378e+06,4.39545e+06,7.04174e+06
1989-01-01,3.98088e+06,2.38194e+07,9.25689e+06,6.56227e+06,4.47294e+06,1.83607e+06,1.45625e+07,3.34162e+06,2.07314e+06,2.91862e+06,7.33248e+06,858545,1.72736e+06,4.99176e+06,4.50181e+06,7.19642e+06
1989-04-01,4.02133e+06,2.43354e+07,9.43199e+06,6.69506e+06,4.54811e+06,1.86402e+06,1.49034e+07,3.35773e+06,2.19456e+06,2.95434e+06,7.47774e+06,872909,1.7777e+06,5.1489e+06,4.61904e+06,7.35597e+06
1989-07-01,4.07174e+06,2.49596e+07,9.67461e+06,6.89317e+06,4.68201e+06,1.89618e+06,1.5285e+07,3.41462e+06,2.36844e+06,2.96962e+06,7.68599e+06,885261,1.81041e+06,5.33806e+06,4.72188e+06,7.50332e+06
1989-10-01,4.13915e+06,2.54409e+07,9.81768e+06,6.99432e+06,4.73374e+06,1.92558e+06,1.56232e+07,3.47328e+06,2.45007e+06,2.99683e+06,7.79752e+06,897781,1.84615e+06,5.4469e+06,4.85691e+06,7.68028e+06
1990-01-01,4.2329e+06,2.55498e+07,9.8696e+06,7.01298e+06,4.67758e+06,1.96698e+06,1.56802e+07,3.50177e+06,2.30599e+06,3.0164e+06,7.80582e+06,889631,1.88576e+06,5.32238e+06,4.97033e+06,7.82695e+06
1990-04-01,4.30291e+06,2.59146e+07,9.96879e+06,7.08516e+06,4.68924e+06,1.99239e+06,1.59458e+07,3.49165e+06,2.39927e+06,3.04555e+06,7.87772e+06,891239,1.94407e+06,5.44482e+06,5.06529e+06,7.94892e+06
1990-07-01,4.35818e+06,2.58436e+07,1.00744e+07,7.16273e+06,4.71546e+06,2.01615e+06,1.57692e+07,3.52928e+06,2.00099e+06,3.0777e+06,7.95727e+06,895506,1.9948e+06,5.07868e+06,5.16647e+06,8.07813e+06
1990-10-01,4.38054e+06,2.63658e+07,1.00838e+07,7.1464e+06,4.65658e+06,2.03904e+06,1.6282e+07,3.57886e+06,2.24678e+06,3.09423e+06,7.94148e+06,898332,2.11535e+06,5.34101e+06,5.24682e+06,8.18419e+06
1991-01-01,4.417e+06,2.68947e+07,1.01116e+07,7.1474e+06,4.61771e+06,2.06778e+06,1.67831e+07,3.63904e+06,2.59766e+06,3.08241e+06,7.93806e+06,896451,2.12933e+06,5.68007e+06,5.33461e+06,8.29884e+06
1991-04-01,4.47441e+06,2.70445e+07,1.01816e+07,7.20281e+06,4.61216e+06,2.0837e+06,1.6863e+07,3.57246e+06,2.58112e+06,3.08499e+06,7.99037e+06,895054,2.19442e+06,5.6661e+06,5.42997e+06,8.40872e+06
1991-07-01,4.52207e+06,2.74251e+07,1.02519e+07,7.27039e+06,4.65589e+06,2.10348e+06,1.71732e+07,3.55418e+06,2.75437e+06,3.07616e+06,8.03925e+06,878072,2.26357e+06,5.83053e+06,5.52491e+06,8.50646e+06
1991-10-01,4.59056e+06,2.8082e+07,1.03087e+07,7.33058e+06,4.6627e+06,2.11745e+06,1.77733e+07,3.57021e+06,3.17676e+06,3.05149e+06,8.08037e+06,860625,2.3612e+06,6.22825e+06,5.61363e+06,8.5917e+06
1992-01-01,4.7084e+06,2.81103e+07,1.03767e+07,7.39455e+06,4.68627e+06,2.1322e+06,1.77336e+07,3.4536e+06,3.11882e+06,3.03711e+06,8.13174e+06,849935,2.35811e+06,6.15592e+06,5.76596e+06,8.7481e+06
1992-04-01,4.78412e+06,2.82725e+07,1.04416e+07,7.44805e+06,4.70681e+06,2.15322e+06,1.78309e+07,3.40875e+06,3.11126e+06,3.03085e+06,8.17384e+06,840331,2.38613e+06,6.1421e+06,5.89391e+06,8.88746e+06
