date,PTECON,PTNONECON,TOTAL
1994-01-01,3.7880180097399614,13.523385096021318,17.31140310576128
1994-02-01,3.579272819107822,13.488279546028515,17.067552365136336
1994-03-01,3.75,13.483128834355828,17.233128834355828
1994-04-01,3.6380061399009342,13.295718146392998,16.933724286293934
1994-05-01,3.697841396554493,13.362237056408139,17.06007845296263
1994-06-01,3.6886972373067,13.276552722482213,16.96524995978891
1994-07-01,3.448091112267704,13.545908214187307,16.99399932645501
1994-08-01,3.320510378975433,13.568463149876214,16.888973528851647
1994-09-01,3.2962768507316187,13.389032194245972,16.685309044977593
1994-10-01,3.394461986883653,13.454123147923244,16.8485851348069
1994-11-01,3.387645859080604,13.603657565717144,16.99130342479775
1994-12-01,3.3648854499018577,13.481519655023455,16.846405104925314
1995-01-01,3.445977673094109,13.610475772126208,17.056453445220317
1995-02-01,3.328161071793513,13.636604473375469,16.96476554516898
1995-03-01,3.369213068095801,13.391316195839767,16.760529263935567
1995-04-01,3.3396183724262762,13.538728410890716,16.878346783316992
1995-05-01,3.4228030124913733,13.446996989025491,16.869800001516865
1995-06-01,3.402072012671563,13.32484520534449,16.72691721801605
1995-07-01,3.351896209093039,13.579864443151507,16.931760652244545
1995-08-01,3.4102587353403457,13.483103615040504,16.89336235038085
1995-09-01,3.453710476506474,13.524519082127426,16.9782295586339
1995-10-01,3.3620663672805087,13.391753820187468,16.753820187467976
1995-11-01,3.3850121404979867,13.152457508257045,16.53746964875503
1995-12-01,3.346137301808907,13.130985352159444,16.477122653968348
1996-01-01,3.0328165530554383,13.058002051034567,16.090818604090003
1996-02-01,3.3245080931463984,13.250646849990973,16.575154943137374
1996-03-01,3.325574410572158,13.360864994743956,16.686439405316115
1996-04-01,3.346101087632768,13.305699015808528,16.651800103441296
1996-05-01,3.237149034541061,13.098221700195262,16.335370734736323
1996-06-01,3.225203258113495,13.380255353523266,16.605458611636763
1996-07-01,3.2453605790712223,13.310595454410057,16.55595603348128
1996-08-01,3.2755456756232566,13.584078058095992,16.859623733719246
1996-09-01,3.257629260677248,13.335315764041185,16.592945024718432
1996-10-01,3.2404147612306464,13.175117290859095,16.41553205208974
1996-11-01,2.9813268941610436,13.450413682253512,16.431740576414555
1996-12-01,3.2306291770592024,13.175638169532169,16.40626734659137
1997-01-01,3.0925171273328607,13.42871485943775,16.521231986770612
1997-02-01,3.1329394387001477,13.328655834564254,16.4615952732644
1997-03-01,3.025954625398297,13.366595285927692,16.39254991132599
1997-04-01,3.2319727090930477,13.38004352429126,16.61201623338431
1997-05-01,2.962114032574439,13.393427809490225,16.355541842064664
1997-06-01,2.9351520802284687,13.385849894648743,16.321001974877213
1997-07-01,2.960205748954036,13.21834448295317,16.178550231907206
1997-08-01,2.963738306811694,13.18201115519185,16.145749462003543
1997-09-01,2.9295774647887325,13.067495884397292,15.997073349186024
1997-10-01,2.9077894798474744,13.292542797128073,16.200332276975548
1997-11-01,2.8927942991070448,13.24245588160133,16.135250180708375
1997-12-01,2.8055849221683493,13.431519084247748,16.237104006416097
1998-01-01,2.8607899631642293,13.503045333527847,16.363835296692073
1998-02-01,2.8195927417002156,13.402182157652136,16.221774899352354
1998-03-01,2.811944387769973,13.47678451718208,16.288728904952055
1998-04-01,2.752460809332847,13.238060517681372,15.990521327014218
1998-05-01,2.7130710770753868,13.59520135107591,16.308272428151298
1998-06-01,2.7398057546106,13.619730093485142,16.359535848095742
1998-07-01,2.758961537343373,13.449574090763731,16.2085356281071
1998-08-01,2.5710547357708804,13.39681616631533,15.967870902086212
1998-09-01,2.493383278133723,13.563918256367238,16.05730153450096
1998-10-01,2.4826618647806247,13.477823819958202,15.960485684738826
1998-11-01,2.4129035055390555,13.493181867452902,15.906085372991956
1998-12-01,2.4669273049901177,13.417343508807363,15.884270813797482
1999-01-01,2.481241412055855,13.348632763321655,15.829874175377508
1999-02-01,2.464613901141998,13.38303338202595,15.847647283167946
1999-03-01,2.5589274129604265,13.458516542925105,16.017443955885533
1999-04-01,2.477709252369404,13.57666649875143,16.054375751120833
1999-05-01,2.4391295908904658,13.51046316863997,15.949592759530434
1999-06-01,2.4481622634196754,13.49826669250479,15.946428955924466
1999-07-01,2.4024842404205424,13.602363757628783,16.004847998049325
