name;outer1;range1;rangest;range2;outer2;latest;lt3m;y
Accommodation \& food services;2.6;0.8999999999999999;3.0;0.0;0.0;6.5;5.8999999999999995;0.08
Retail trade;1.7;0.40000000000000013;2.9;0.0;1.5;3.6;3.6999999999999997;-0.92
Construction;0.7;0.7;1.9;0.0;3.2;3.0;2.6999999999999997;-1.92
Professional \& business services;1.5;0.5;1.7999999999999998;0.0;2.7;3.0;3.3000000000000003;-2.92
Transportation, warehousing, \& utilities;0.8;0.7;1.6;0.0;3.4;2.9;2.9;-3.92
\textbf{Total nonfarm};1.2;0.40000000000000013;1.4;0.0;3.5;2.7;2.733333333333333;-4.92
Nondurable goods manufacturing;0.8;0.7;2.1;0.0;2.9;2.6;2.8000000000000003;-5.92
Health care \& social services;1.2;0.5;1.4000000000000001;0.0;3.4;2.3;2.433333333333333;-6.92
Mining \& logging;0.6;0.4;1.7000000000000002;0.3999999999999999;3.4;2.0;2.1999999999999997;-7.92
Durable goods manufacturing;0.5;0.09999999999999998;1.7999999999999998;0.0;4.1;2.0;2.066666666666667;-8.92
Information;0.5;0.4;1.2000000000000002;0.6000000000000001;3.8;1.9;1.8333333333333333;-9.92
Financial activities;0.7;0.20000000000000007;1.3000000000000003;0.09999999999999964;4.2;1.7;1.6666666666666667;-10.92
Educational services;0.6;0.0;1.2999999999999998;0.0;4.6;1.4;1.3999999999999997;-11.92
State \& local government;0.4;0.29999999999999993;0.5;0.0;5.3;1.0;1.0333333333333334;-12.92
Federal government;0.1;0.4;0.5;0.3999999999999999;5.1;0.8;0.7666666666666666;-13.92
