date,Manufacturing,Mining \& Logging,Utilities,Wholesale Trade,Information,Financial Activities,Professional \& \\[-0.6ex] Business Services,Education \& \\[-0.6ex] Health Services,Total Private,Construction,Leisure \& \\[-0.6ex] Hospitality,Transportation \\[-0.6ex] \& Warehousing,Retail Trade
2017-01-01,20.63,27.29,36.06,24.43,30.39,26.34,25.79,22.79,21.81,26.4,13.13,20.91,15.19
2017-02-01,20.64,27.44,36.12,24.44,30.4,26.27,25.8,22.85,21.84,26.33,13.2,20.98,15.2
2017-03-01,20.69,27.49,36.4,24.43,30.48,26.39,25.84,22.89,21.88,26.43,13.26,21.03,15.2
2017-04-01,20.75,27.19,36.25,24.53,30.68,26.5,25.91,22.98,21.94,26.37,13.31,21.02,15.23
2017-05-01,20.8,27.31,36.32,24.45,30.69,26.46,25.89,22.99,21.96,26.55,13.37,21.1,15.25
2017-06-01,20.84,27.38,36.37,24.6,30.88,26.56,25.95,23.01,22.02,26.68,13.4,21.2,15.29
2017-07-01,20.92,27.42,36.34,24.67,30.81,26.64,26.02,23.07,22.08,26.77,13.41,21.18,15.33
2017-08-01,20.94,27.47,35.89,24.6,30.74,26.67,26.1,23.08,22.11,26.87,13.42,21.28,15.34
2017-09-01,21.02,27.34,36.28,24.7,30.8,26.7,26.2,23.12,22.18,27.05,13.45,21.37,15.36
2017-10-01,21.08,27.45,36.21,24.61,30.86,26.74,26.2,23.12,22.18,26.91,13.47,21.42,15.35
2017-11-01,21.11,27.48,36.13,24.7,31.04,26.63,26.23,23.19,22.22,27.0,13.51,21.48,15.43
2017-12-01,21.22,27.81,36.11,24.67,31.09,26.83,26.33,23.26,22.3,27.09,13.64,21.45,15.45
2018-01-01,21.3,27.87,36.26,24.65,31.25,26.72,26.47,23.36,22.38,27.22,13.61,21.51,15.58
2018-02-01,21.33,27.86,36.25,24.72,31.26,26.74,26.49,23.39,22.42,27.43,13.63,21.54,15.58
2018-03-01,21.39,27.9,36.86,24.74,31.54,26.82,26.58,23.46,22.5,27.43,13.68,21.62,15.69
2018-04-01,21.46,28.02,36.45,24.82,31.47,26.86,26.61,23.46,22.54,27.5,13.75,21.64,15.76
2018-05-01,21.42,27.92,36.51,24.99,31.65,26.9,26.68,23.56,22.59,27.53,13.79,21.59,15.81
2018-06-01,21.47,28.11,36.47,25.22,31.82,26.89,26.77,23.66,22.66,27.56,13.84,21.66,15.83
2018-07-01,21.45,28.16,36.61,25.12,31.82,26.88,26.81,23.7,22.7,27.73,13.89,21.73,15.89
2018-08-01,21.56,28.45,36.84,25.27,32.08,26.94,26.87,23.74,22.78,27.82,13.93,21.81,15.95
2018-09-01,21.61,28.66,37.01,25.51,32.24,27.04,26.93,23.75,22.85,27.96,13.98,21.87,15.98
2018-10-01,21.7,28.74,37.01,25.46,32.32,26.95,26.97,23.76,22.9,28.06,14.03,21.9,16.07
2018-11-01,21.78,28.85,37.29,25.5,32.83,27.17,27.09,23.88,23.0,28.17,14.12,21.94,16.14
2018-12-01,21.82,28.73,37.29,25.71,33.04,27.26,27.19,23.94,23.11,28.19,14.22,22.05,16.25
2019-01-01,21.86,29.03,36.73,25.51,33.22,27.26,27.25,24.05,23.14,28.2,14.25,22.05,16.26
2019-02-01,21.94,29.08,36.88,25.73,33.26,27.48,27.32,24.09,23.21,28.12,14.29,22.19,16.36
2019-03-01,21.97,29.42,36.71,26.1,33.45,27.39,27.45,24.19,23.31,28.37,14.3,22.34,16.45
2019-04-01,21.95,29.71,36.75,26.05,33.37,27.51,27.49,24.11,23.33,28.41,14.34,22.35,16.5
2019-05-01,22.04,29.91,36.79,26.08,33.67,27.54,27.57,24.08,23.38,28.39,14.42,22.41,16.56
2019-06-01,22.14,29.93,36.66,26.17,33.78,27.65,27.7,24.22,23.47,28.42,14.44,22.42,16.57
2019-07-01,22.18,29.73,36.69,26.04,33.71,27.71,27.83,24.45,23.55,28.44,14.48,22.54,16.6
2019-08-01,22.2,30.13,36.88,26.18,34.13,27.8,27.95,24.44,23.62,28.54,14.54,22.51,16.65
2019-09-01,22.23,30.36,36.98,26.2,34.33,27.81,28.06,24.53,23.68,28.6,14.62,22.47,16.68
2019-10-01,22.29,30.94,37.09,26.25,34.33,27.9,28.17,24.65,23.75,28.66,14.67,22.43,16.71
