date,Mortgages,Consumer Credit,Total,Other
1989-01-01,52.42700634205855,18.903771829453866,80.47823573865067,9.147457567138256
1989-04-01,53.31313727910617,19.11522505469799,81.83713721055517,9.408774876751007
1989-07-01,54.224499321914756,19.235275836838632,82.88691392352219,9.427138764768804
1989-10-01,54.54112613972483,19.529676705825683,83.56153772087127,9.490734875320758
1990-01-01,55.11628203415308,18.70294579894239,83.34726832467098,9.528040491575505
1990-04-01,55.64766367537262,18.554835370416274,83.72365581680819,9.521156771019301
1990-07-01,56.14631922120104,18.640241021417523,84.16267247573138,9.376112233112813
1990-10-01,56.861515618753934,18.831385985951687,85.30174176232082,9.60884015761521
1991-01-01,57.32835112128105,18.183645968272966,85.2311866527491,9.719189563195096
1991-04-01,57.96810729406161,17.933654702854795,85.61636768886764,9.714605691951222
1991-07-01,57.87173747960405,17.76688518274985,85.62719872122706,9.988576058873155
1991-10-01,58.14587587784849,17.778906000673153,86.13766722065365,10.212885342132013
1992-01-01,57.50185604876524,16.847847323212417,84.34484451662884,9.995141144651177
1992-04-01,57.25028910331183,16.55099748998165,83.8866054926287,10.085318899335231
1992-07-01,57.753842867181085,16.56862058428482,84.37190280886375,10.04943935739785
1992-10-01,58.0131534604426,16.845600024509555,84.9022375179992,10.043484033047038
1993-01-01,57.73399489085777,16.329148669808585,84.2498119318638,10.186668371197444
1993-04-01,58.24609589861535,16.398447693794903,84.80011473637276,10.155571143962499
1993-07-01,58.94348691165203,16.791583763334692,86.09392046660336,10.35884979161665
1993-10-01,59.01133643004768,17.436116493545537,86.86433274515699,10.416879821563777
1994-01-01,59.004886383024804,17.215229123216783,86.62376019327391,10.403644687032306
1994-04-01,58.95830588798385,17.614497204073935,86.93039514208206,10.357592050024278
1994-07-01,59.07732174393667,18.17063821813026,87.50495458064466,10.256994618577732
1994-10-01,58.80305469642116,18.966814834846836,88.10768332376172,10.337813792493721
1995-01-01,58.496566729049796,18.776257173875912,87.50158523506562,10.22876133213991
1995-04-01,58.836262577849034,19.315789722310743,88.43713628209122,10.285083981931432
1995-07-01,58.987675917438764,19.895812264839748,89.32899627186282,10.44550808958431
1995-10-01,58.92346875388247,20.73301031183998,90.11760112170101,10.461122055978562
1996-01-01,59.069204022776475,20.32102550796138,90.02901437500196,10.638784844264109
1996-04-01,59.06186653246778,20.594163932146493,90.35578651776282,10.69975605314855
1996-07-01,59.310668885069155,20.907548070817743,90.93218634648865,10.713969390601752
1996-10-01,59.424863355626066,21.395478201982915,91.54124171832558,10.720900160716603
1997-01-01,59.3064153113573,20.773965736683824,90.98207725246819,10.901696204427058
1997-04-01,59.48083217914849,20.930714353211844,91.54370237605676,11.132155843696422
1997-07-01,60.007804067220235,21.081071569140583,92.20216440977262,11.113288773411792
1997-10-01,59.542018631949446,21.318386707079927,92.11622613811382,11.255820799084445
1998-01-01,59.16801430411274,20.564693742012803,91.09427021627017,11.361562170144643
1998-04-01,59.463462238141794,20.917671568098925,91.84451162394488,11.463377817704165
1998-07-01,59.8471925552824,21.143107883710325,92.41247353371858,11.42217309472586
1998-10-01,60.60502227518464,21.527928597525218,93.64723324969745,11.514282376987593
1999-01-01,61.002213475805874,21.270573453921806,93.76299735002264,11.490210420294959
1999-04-01,61.99971235126187,21.55287259152766,95.41352581779239,11.860940875002866
1999-07-01,62.899756451265965,21.855419826671017,96.51110078014233,11.755924502205353
1999-10-01,62.87435762376266,22.028083423662416,97.10964898910592,12.207207941680837
2000-01-01,62.15618709454208,21.476959160099007,96.45331918275136,12.820172928110273
2000-04-01,62.65893786479409,21.775435700125968,96.90823454817397,12.473860983253907
2000-07-01,62.96397788251747,22.229934129202135,97.49028766435362,12.296375652634016
2000-10-01,63.473102972432294,22.945521242700167,98.24089788225943,11.822273667126957
2001-01-01,63.593546034076944,22.70209773224763,97.3443438143179,11.04870004799332
