date,LA104104005.Q,LA144104005.Q,LA153165105.Q,LA153166000.Q,LA154104005.Q,LA214104005.Q,LA314104005.Q,LA384104005.Q,FL264090005.Q,FL104104005.Q,FL104190005.Q,FL114190005.Q,FL144104005.Q,FL144190005.Q,FL154104005.Q,FL154190005.Q,FL214104005.Q,FL214190005.Q,FL314104005.Q,FL314190005.Q,FL384104005.Q,FL384122005.Q,FL384123005.Q,FL384190005.Q,FL153165005.Q,FL153166000.Q,FL104122005.Q,FL104123005.Q,FL113165505.Q,Government,NCB
1988-01-01,2100786.0,3186650.0,1887603.0,713264.0,2893489.0,852543.0,2231681.0,9164363.0,1252793.0,2105690.0,3863671.0,1298153.0,3189275.0,5161824.0,2861897.0,2920727.0,851013.0,1360694.0,2218918.0,3178261.0,9121103.0,4122770.0,4998333.0,12621507.0,1931392.0,693732.0,998872.0,1106818.0,426103.0,3084224.0,1085864.0
1988-04-01,2155210.0,3264239.0,1945778.0,725994.0,2966415.0,864616.0,2277616.0,9372886.0,1312740.0,2164293.0,3931617.0,1326524.0,3273484.0,5258141.0,2946903.0,3006460.0,861342.0,1374518.0,2245379.0,3217270.0,9327108.0,4196374.0,5130734.0,12856389.0,1999213.0,710128.0,1034690.0,1129603.0,446245.0,3142232.0,1109029.0
1988-07-01,2196461.0,3329846.0,1999188.0,735994.0,3036771.0,876322.0,2324952.0,9567891.0,1337088.0,2195978.0,3981763.0,1356384.0,3329899.0,5338147.0,3027059.0,3087447.0,876662.0,1399922.0,2298445.0,3274891.0,9532065.0,4300965.0,5231100.0,13100407.0,2058013.0,725838.0,1061889.0,1134089.0,460789.0,3201274.0,1133385.0
1988-10-01,2265205.0,3414461.0,2054832.0,745206.0,3100556.0,892989.0,2369615.0,9777621.0,1405604.0,2265205.0,4191650.0,1383590.0,3414461.0,5575240.0,3100556.0,3161942.0,892989.0,1424337.0,2369615.0,3350291.0,9777621.0,4422469.0,5355152.0,13511809.0,2113164.0,745206.0,1089317.0,1175888.0,474633.0,3262604.0,1149256.0
1989-01-01,2318457.0,3481178.0,2092082.0,773653.0,3165488.0,900870.0,2417116.0,9964652.0,1460694.0,2324462.0,4373886.0,1402560.0,3484833.0,5776446.0,3141100.0,3206537.0,901944.0,1457385.0,2402768.0,3406967.0,9930645.0,4488168.0,5442477.0,13847335.0,2149433.0,753193.0,1113576.0,1210886.0,477176.0,3317986.0,1162721.0
1989-04-01,2377544.0,3552814.0,2143370.0,787208.0,3240216.0,909489.0,2454316.0,10156836.0,1511882.0,2386668.0,4428494.0,1424315.0,3562277.0,5852809.0,3225251.0,3294926.0,909380.0,1474761.0,2420785.0,3441604.0,10117693.0,4548615.0,5569078.0,14064100.0,2208767.0,769617.0,1148350.0,1238318.0,480228.0,3363805.0,1175270.0
1989-07-01,2405997.0,3592703.0,2205094.0,796149.0,3312156.0,921461.0,2500028.0,10326348.0,1574163.0,2406847.0,4482220.0,1444067.0,3594302.0,5926287.0,3305312.0,3379234.0,926145.0,1514718.0,2471503.0,3497836.0,10297262.0,4636304.0,5660958.0,14318075.0,2274517.0,784207.0,1166999.0,1239848.0,487493.0,3421489.0,1186706.0
1989-10-01,2455221.0,3653103.0,2260115.0,809285.0,3383950.0,940363.0,2550522.0,10527938.0,1729557.0,2455221.0,4532736.0,1460969.0,3653103.0,5993705.0,3383950.0,3462684.0,940363.0,1567451.0,2550522.0,3577251.0,10527938.0,4748498.0,5779440.0,14601091.0,2325669.0,809285.0,1183681.0,1271540.0,494642.0,3490885.0,1197882.0
1990-01-01,2502902.0,3706622.0,2341358.0,813793.0,3477808.0,958764.0,2618661.0,10761855.0,1756466.0,2512026.0,4582524.0,1465272.0,3713275.0,6047796.0,3449737.0,3530872.0,958689.0,1613782.0,2604054.0,3649136.0,10725755.0,4845530.0,5880225.0,14841586.0,2402198.0,792320.0,1208939.0,1303087.0,488735.0,3577425.0,1203720.0
1990-04-01,2539035.0,3740825.0,2395950.0,818310.0,3539839.0,969112.0,2681731.0,10931507.0,1801919.0,2551437.0,4597267.0,1465094.0,3753739.0,6062361.0,3520061.0,3603971.0,969980.0,1634525.0,2648428.0,3705166.0,10892207.0,4921277.0,5970930.0,15006023.0,2464256.0,798712.0,1228355.0,1323082.0,488284.0,3650843.0,1201790.0
