date,Coal,Natural Gas,Nuclear,Renewables,Petroleum and other,Hydroelectric,Solar,Wind,Geothermal,Biomass
2001-12-01,1903.955942,639.1291190000001,768.8263079999999,287.72968897000004,137.00259103000002,216.96104499999998,0.542755,6.737331,13.740501,49.74805697
2002-01-01,1891.0268489999999,645.153288,771.045094,291.24664078999996,125.62009321000001,219.90392899999998,0.547575,7.159483,13.798658999999999,49.836994790000006
2002-02-01,1884.340187,651.494792,771.4309609999999,294.45487349999996,121.25666549999998,222.622723,0.558572,7.4421729999999995,13.857809999999999,49.973595499999995
2002-03-01,1880.556827,658.3448420000001,772.3308959999999,295.54530753,118.04207347,223.154347,0.571471,7.762155,13.912755,50.144579529999994
2002-04-01,1882.190768,661.648505,774.764932,302.4951848,115.48993819999998,229.387958,0.5785699999999999,8.101877,13.932499,50.4942808
2002-05-01,1882.0042549999998,660.989537,776.284679,311.00363569999996,113.4901693,236.87501799999998,0.555157,8.544489,14.076992999999998,50.9519787
2002-06-01,1884.056146,669.017401,774.633477,319.59019578,109.80422222,244.360235,0.559557,9.00117,14.139963999999999,51.52926978
2002-07-01,1888.190438,679.9045279999999,775.8882639999999,327.7936815,109.2529375,251.751763,0.5531,9.256632999999999,14.223677,52.008508500000005
2002-08-01,1885.0298120000002,685.971591,778.276456,330.71462693999996,105.09035406000001,253.921919,0.542726,9.656118000000001,14.283536,52.31032794
2002-09-01,1896.237804,693.9515819999999,779.3787950000001,333.35762563,106.50760137,255.752674,0.530531,9.901717000000001,14.339606999999999,52.83309663
2002-10-01,1906.406282,691.7759609999999,779.4108799999999,335.80318082,108.36295118000001,257.689505,0.540674,10.029243000000001,14.412956,53.13080282
2002-11-01,1918.3429390000001,692.4462149999999,778.5894930000001,340.65709310999995,109.07913389000001,262.006605,0.55456,10.214741,14.44515,53.43603711
2002-12-01,1933.1303540000001,691.0057469999999,780.0640870000001,343.43800342,110.81405958,264.328831,0.5548309999999999,10.354277999999999,14.491309,53.70875442
2003-01-01,1950.085489,692.768661,778.349308,342.1446237,117.15159531,263.133978,0.55672801,10.175216,14.461466,53.817235690000004
2003-02-01,1964.0191479999999,692.006803,777.632903,341.89467971000005,122.36920757000001,262.722155,0.5509932799999999,10.206659,14.459622999999999,53.95524943
2003-03-01,1967.535272,687.491365,774.525517,345.45276953,124.68607184000001,265.915615,0.5566233700000001,10.390661,14.427513999999999,54.16235616
