date,TOTAL,LABOR,A034RC,A132RC,B202RC,A038RC,B040RC,B039RC,A041RC,B042RC,A045RC,A048RC,W210RC,A064RC,B703RC,A577RC,A063RC,W823RC,W824RC,W729RC,W825RC,W826RC,W827RC,B931RC,A061RC,W055RC,A067RC,A068RC,DPCERC,B069RC,W211RC,W062RC,B070RC,A071RC,A072RC,W875RX,A067RX,A229RC,A229RX,B230RC,CAPITAL,TRANSFER
1988-01-01,4137554.0,2837948.0,2349396.0,1910333.0,439063.0,488553.0,310331.0,178222.0,316535.0,33649.0,282885.0,21079.0,824370.0,703563.0,120807.0,486757.0,467289.0,212100.0,83184.0,50496.0,13598.0,16632.0,91279.0,19468.0,-349135.0,505947.0,3631607.0,3336976.0,3213729.0,98450.0,24797.0,14075.0,10722.0,294632.0,8.1,6412479.0,6378773.0,14880.0,26137.0,244056.0,1161984.0,137622.0
1988-02-01,4160269.0,2858650.0,2367271.0,1925714.0,441557.0,491378.0,312077.0,179301.0,320167.0,33466.0,286701.0,21116.0,824237.0,702889.0,121348.0,487292.0,467685.0,211728.0,83388.0,50712.0,14001.0,16260.0,91596.0,19607.0,-351192.0,502078.0,3658191.0,3344988.0,3221419.0,98694.0,24875.0,14153.0,10722.0,313203.0,8.6,6441977.0,6416043.0,14980.0,26273.0,244205.0,1165520.0,136100.0
1988-03-01,4183914.0,2876081.0,2381881.0,1937299.0,444583.0,494200.0,314022.0,180178.0,320779.0,32793.0,287986.0,20956.0,823264.0,700764.0,122500.0,495738.0,476013.0,216624.0,83736.0,51396.0,14101.0,17892.0,92264.0,19725.0,-352904.0,498184.0,3685730.0,3384581.0,3260540.0,99088.0,24953.0,14231.0,10722.0,301149.0,8.2,6446450.0,6442175.0,15083.0,26363.0,244362.0,1164999.0,142834.0
1988-04-01,4213819.0,2905624.0,2407459.0,1960983.0,446476.0,498166.0,316154.0,182012.0,323878.0,30787.0,293091.0,20593.0,827829.0,703505.0,124324.0,492265.0,472333.0,214224.0,84360.0,51696.0,12969.0,16416.0,92668.0,19932.0,-356370.0,497433.0,3716387.0,3388011.0,3262972.0,99655.0,25384.0,14672.0,10712.0,328376.0,8.8,6473324.0,6464335.0,15198.0,26436.0,244528.0,1172300.0,135895.0
1988-05-01,4229163.0,2920595.0,2419249.0,1970756.0,448493.0,501346.0,318502.0,182844.0,319839.0,26339.0,293501.0,20268.0,833151.0,706979.0,126172.0,493272.0,473173.0,213036.0,84936.0,52224.0,13273.0,16872.0,92832.0,20099.0,-357963.0,496761.0,3732401.0,3419349.0,3293642.0,100237.0,25470.0,14758.0,10712.0,313052.0,8.4,6479472.0,6473420.0,15252.0,26454.0,244708.0,1173258.0,135309.0
1988-06-01,4261440.0,2943156.0,2437892.0,1987347.0,450545.0,505264.0,321025.0,184239.0,323781.0,25106.0,298674.0,19982.0,840071.0,711824.0,128247.0,495044.0,474745.0,213348.0,85572.0,52692.0,13274.0,16776.0,93083.0,20299.0,-360594.0,499222.0,3762218.0,3444949.0,3318535.0,100855.0,25559.0,14847.0,10712.0,317269.0,8.4,6504601.0,6497387.0,15361.0,26529.0,244914.0,1183834.0,134450.0
1988-07-01,4300766.0,2965983.0,2456478.0,2004542.0,451936.0,509504.0,323753.0,185751.0,331047.0,30483.0,300564.0,19738.0,850305.0,720031.0,130274.0,497163.0,476657.0,213996.0,86268.0,53196.0,12861.0,16620.0,93716.0,20506.0,-363469.0,504444.0,3796322.0,3469738.0,3342733.0,101507.0,25498.0,14971.0,10527.0,326584.0,8.6,6537041.0,6524527.0,15487.0,26616.0,245131.0,1201090.0,133694.0
1988-08-01,4324452.0,2970262.0,2457760.0,2003664.0,454096.0,512502.0,326690.0,185812.0,336260.0,30380.0,305880.0,20778.0,860985.0,728180.0,132804.0,499918.0,479165.0,214344.0,87024.0,53616.0,13772.0,16644.0,93765.0,20753.0,-363751.0,506185.0,3818267.0,3495704.0,3367972.0,102136.0,25596.0,15069.0,10527.0,322563.0,8.4,6553555.0,6542816.0,15562.0,26667.0,245352.0,1218023.0,136167.0
1988-09-01,4353673.0,2991277.0,2474325.0,2016800.0,457524.0,516953.0,329849.0,187104.0,333482.0,25430.0,308051.0,23095.0,870355.0,735561.0,134794.0,501752.0,480725.0,214128.0,87852.0,54216.0,13063.0,16908.0,94558.0,21027.0,-366288.0,509374.0,3844299.0,3503429.0,3374992.0,102737.0,25700.0,15173.0,10527.0,340870.0,8.9,6568461.0,6555464.0,15654.0,26694.0,245579.0,1226932.0,135464.0
1988-10-01,4391958.0,3027856.0,2505083.0,2044573.0,460510.0,522773.0,333206.0,189567.0,325734.0,17312.0,308423.0,26685.0,878780.0,741828.0,136952.0,503900.0,482497.0,214404.0,88608.0,54816.0,12773.0,16752.0,95144.0,21403.0,-370998.0,514595.0,3877363.0,3543166.0,3413661.0,103041.0,26464.0,15267.0,11197.0,334197.0,8.6,6608587.0,6590409.0,15775.0,26813.0,245789.0,1231199.0,132902.0
1988-11-01,4403559.0,3029237.0,2502915.0,2038748.0,464168.0,526322.0,336754.0,189568.0,323032.0,14486.0,308546.0,28135.0,887416.0,748595.0,138821.0,506913.0,485173.0,214512.0,89664.0,55308.0,13276.0,16764.0,95649.0,21740.0,-371175.0,515899.0,3887660.0,3560847.0,3430226.0,104030.0,26591.0,15394.0,11197.0,326813.0,8.4,6607834.0,6592596.0,15805.0,26802.0,245970.0,1238583.0,135738.0
1988-12-01,4440199.0,3049160.0,2517677.0,2052184.0,465493.0,531483.0,340485.0,190998.0,331757.0,21242.0,310515.0,27466.0,896259.0,756386.0,139873.0,509503.0,486913.0,214548.0,90876.0,55956.0,12975.0,16284.0,96274.0,22590.0,-373945.0,521145.0,3919055.0,3591912.0,3459729.0,105444.0,26739.0,15542.0,11197.0,327142.0,8.3,6644757.0,6625076.0,15922.0,26916.0,246140.0,1255482.0,135558.0
1989-01-01,4504149.0,3070521.0,2536534.0,2069188.0,467346.0,533987.0,344389.0,189598.0,343217.0,31148.0,312069.0,24688.0,916629.0,771516.0,145113.0,525977.0,503127.0,223296.0,92616.0,56688.0,13534.0,17568.0,99425.0,22850.0,-376884.0,548097.0,3956052.0,3618233.0,3483745.0,107557.0,26931.0,15784.0,11147.0,337818.0,8.5,6690652.0,6653449.0,16062.0,27013.0,246301.0,1284534.0,149093.0
1989-02-01,4533167.0,3073275.0,2535371.0,2065714.0,469658.0,537904.0,348202.0,189702.0,350622.0,39904.0,310718.0,22786.0,934363.0,786625.0,147738.0,529430.0,506031.0,224088.0,93864.0,57444.0,13433.0,17364.0,99838.0,23399.0,-377309.0,552129.0,3981038.0,3624246.0,3488011.0,109159.0,27076.0,15929.0,11147.0,356791.0,9.0,6711204.0,6673155.0,16153.0,27077.0,246454.0,1307771.0,152121.0
1989-03-01,4574380.0,3093383.0,2550513.0,2079131.0,471382.0,542870.0,351850.0,191020.0,350458.0,39103.0,311355.0,21761.0,949756.0,799092.0,150664.0,538931.0,515367.0,230328.0,94992.0,58128.0,13737.0,17376.0,100806.0,23564.0,-379909.0,558412.0,4015969.0,3636453.0,3498760.0,110496.0,27197.0,16050.0,11147.0,379516.0,9.5,6739218.0,6706685.0,16284.0,27194.0,246626.0,1321975.0,159022.0
