date,SLG NFA,SLG FA,FG NFA,FG FA
1989-01-01,41.9082,16.7973,25.7388,8.34516
1989-04-01,41.8191,16.8697,25.6464,8.36966
1989-07-01,41.8272,16.8998,25.6999,8.16032
1989-10-01,41.967,17.1058,25.7057,8.06673
1990-01-01,41.6718,17.1224,25.4298,7.96994
1990-04-01,41.6844,17.0664,25.3091,7.98214
1990-07-01,41.9351,16.971,25.3547,8.5066
1990-10-01,42.3114,17.1949,25.6512,8.28901
1991-01-01,42.3669,17.2562,25.7963,8.45143
1991-04-01,42.2668,17.1979,25.5636,8.36175
1991-07-01,42.1297,17.298,25.547,8.01966
1991-10-01,41.8294,17.4884,25.4145,8.193
1992-01-01,41.4359,17.3018,25.1126,7.92439
1992-04-01,41.3237,17.0746,24.9261,7.87402
1992-07-01,41.1568,16.8627,24.7906,7.84849
1992-10-01,40.9721,16.5323,24.7211,7.08174
1993-01-01,41.2694,16.4607,24.7744,7.11699
1993-04-01,41.3395,16.3742,24.6235,7.34451
1993-07-01,41.2093,16.2153,24.5381,7.11709
1993-10-01,40.9706,16.0256,24.2981,6.97083
1994-01-01,40.9329,15.7347,24.0717,6.89718
1994-04-01,40.6431,15.4951,23.9391,6.44625
1994-07-01,40.8819,15.335,23.8719,6.3136
1994-10-01,40.9484,15.1172,23.7401,6.1811
1995-01-01,41.2978,14.9701,23.7354,6.47021
1995-04-01,41.5751,14.8753,23.7057,6.54027
1995-07-01,41.5644,14.7216,23.5012,6.23439
1995-10-01,41.6355,14.5403,23.2939,5.74868
1996-01-01,41.701,14.3824,23.3234,6.15403
1996-04-01,41.2255,14.2215,22.6582,5.89088
1996-07-01,41.2889,14.1384,22.4876,5.86208
1996-10-01,41.1457,14.1899,22.1965,5.64094
1997-01-01,41.2235,14.283,22.0096,5.82292
1997-04-01,41.1163,14.4554,21.7105,5.52526
1997-07-01,40.9016,14.5558,21.4346,6.20143
1997-10-01,41.0742,14.7654,21.2614,5.88245
1998-01-01,41.0114,15.2604,21.0239,6.15567
1998-04-01,40.938,15.5775,20.8869,6.24847
1998-07-01,40.9341,15.5813,20.6797,5.9049
