date,PrRes,PrNR,Pub,Total,PrMan
2002-01-01,377631.0,263731.0,217321.0,858654.0,28116.0
2002-02-01,385745.0,256668.0,219966.0,862338.0,25816.0
2002-03-01,385406.0,252252.0,206789.0,844551.0,24835.0
2002-04-01,398990.0,250341.0,208700.0,858240.0,24301.0
2002-05-01,394223.0,241636.0,215094.0,850935.0,23650.0
2002-06-01,401920.0,235344.0,209818.0,846777.0,22981.0
2002-07-01,404632.0,229426.0,213148.0,847129.0,21868.0
2002-08-01,398875.0,227442.0,212437.0,839008.0,20733.0
2002-09-01,394820.0,224568.0,212711.0,832134.0,20028.0
2002-10-01,397077.0,228572.0,214144.0,839690.0,20691.0
2002-11-01,401424.0,228716.0,214383.0,844697.0,20804.0
2002-12-01,411758.0,222509.0,221742.0,855921.0,20214.0
2003-01-01,417788.0,226819.0,219258.0,863855.0,19598.0
2003-02-01,417500.0,225646.0,216078.0,859225.0,19754.0
2003-03-01,413303.0,229653.0,208246.0,851132.0,20723.0
2003-04-01,420510.0,227092.0,211887.0,859459.0,20541.0
2003-05-01,421143.0,232573.0,213124.0,866814.0,22072.0
2003-06-01,430929.0,231498.0,218419.0,880865.0,22403.0
2003-07-01,448917.0,224707.0,217640.0,891264.0,21444.0
2003-08-01,453031.0,228595.0,220213.0,901839.0,21517.0
2003-09-01,458676.0,233700.0,219205.0,911589.0,22317.0
2003-10-01,469855.0,233121.0,222735.0,925732.0,22797.0
2003-11-01,485245.0,226077.0,214612.0,925985.0,21941.0
2003-12-01,503356.0,232151.0,212946.0,948491.0,21392.0
2004-01-01,498640.0,227349.0,212536.0,938525.0,21253.0
2004-02-01,500439.0,227051.0,210322.0,937813.0,22116.0
2004-03-01,506879.0,233056.0,221222.0,961159.0,21681.0
2004-04-01,512400.0,233437.0,221765.0,967602.0,21351.0
2004-05-01,522534.0,232956.0,218891.0,974381.0,22122.0
2004-06-01,527794.0,232519.0,222773.0,983087.0,20483.0
2004-07-01,543260.0,238888.0,224037.0,1006184.0,21973.0
2004-08-01,551447.0,241348.0,220820.0,1013616.0,22525.0
2004-09-01,546306.0,246868.0,218907.0,1012080.0,23193.0
2004-10-01,551137.0,246581.0,218000.0,1015719.0,25459.0
2004-11-01,550392.0,247029.0,225573.0,1022994.0,27525.0
2004-12-01,566284.0,246725.0,224471.0,1037480.0,28119.0
2005-01-01,575650.0,250158.0,220274.0,1046082.0,27578.0
2005-02-01,588435.0,251796.0,226618.0,1066848.0,28016.0
