date,TFP,Prod,Cap,Lab
1989-07-01,0.1,0.9,0.4,0.3
1990-07-01,0.1,1.7,1.2,0.4
1991-07-01,-0.4,1.8,1.7,0.5
1992-07-01,2.8,4.4,1.0,0.6
1993-07-01,-0.4,0.2,0.1,0.4
1994-07-01,0.4,0.7,0.0,0.3
1995-07-01,0.2,1.1,0.7,0.2
1996-07-01,1.0,2.1,0.8,0.3
1997-07-01,0.9,1.9,0.7,0.2
1998-07-01,1.8,3.4,1.3,0.3
1999-07-01,1.9,3.9,1.8,0.2
2000-07-01,1.2,3.0,1.5,0.2
2001-07-01,0.5,2.8,2.1,0.2
2002-07-01,1.9,4.4,2.0,0.4
2003-07-01,2.2,3.7,1.2,0.3
2004-07-01,2.3,3.0,0.5,0.2
2005-07-01,1.5,2.2,0.6,0.1
2006-07-01,0.3,1.0,0.5,0.3
2007-07-01,0.2,1.7,1.0,0.5
2008-07-01,-0.9,1.6,2.0,0.5
2009-07-01,0.2,4.2,3.4,0.6
2010-07-01,2.9,3.4,0.3,0.2
2011-07-01,-0.4,-0.3,-0.2,0.3
2012-07-01,0.7,0.7,-0.2,0.2
2013-07-01,0.0,0.6,0.3,0.3
2014-07-01,0.3,0.5,0.1,0.1
2015-07-01,0.6,1.3,0.4,0.3
2016-07-01,-0.3,0.6,0.7,0.2
2017-07-01,0.4,1.1,0.5,0.2
2018-07-01,0.8,1.5,0.4,0.3
2019-07-01,0.9,2.0,0.9,0.2
2020-07-01,-1.2,4.5,4.1,1.7
2021-07-01,4.1,2.4,-1.1,-0.5
