date,DGDSRY,OTHSERV,SHELTER
1988-10-01,1.135,1.365,0.385
1989-01-01,0.5725,1.175,0.365
1989-04-01,0.58,1.0225,0.12
1989-07-01,0.95,0.7575,0.045
1989-10-01,0.4625,0.6825,0.03
1990-01-01,0.765,0.82,-0.0775
1990-04-01,0.35,0.985,0.045
1990-07-01,-0.075,1.0325,-0.1475
1990-10-01,-0.3875,0.745,-0.445
1991-01-01,-0.945,0.375,-0.545
1991-04-01,-0.5375,0.2925,-0.255
1991-07-01,-0.3325,0.2,0.045
1991-10-01,-0.205,0.54,0.335
1992-01-01,0.5575,1.22,0.755
1992-04-01,0.5475,1.205,0.7225
1992-07-01,0.665,1.4425,0.625
1992-10-01,1.25,1.55,0.81
1993-01-01,0.795,1.0075,0.635
1993-04-01,1.05,0.98,0.47
1993-07-01,1.0325,0.9275,0.7175
1993-10-01,1.02,0.785,0.745
1994-01-01,1.335,0.91,0.87
1994-04-01,1.17,0.9125,1.05
1994-07-01,1.1475,0.8225,0.7175
1994-10-01,1.305,0.815,0.415
1995-01-01,0.7825,0.805,0.2025
1995-04-01,0.73,0.87,-0.03
1995-07-01,0.7975,0.815,0.2775
1995-10-01,0.56,0.845,0.385
1996-01-01,0.8675,0.92,0.6525
1996-04-01,1.1725,0.8925,0.8425
1996-07-01,1.0525,0.975,0.52
1996-10-01,1.115,0.895,0.4675
1997-01-01,1.2425,0.9425,0.285
1997-04-01,0.7575,0.94,0.23
1997-07-01,1.1925,1.1075,0.3825
1997-10-01,1.2225,1.265,0.5425
1998-01-01,1.0825,1.385,0.605
1998-04-01,1.7,1.56,0.745
1998-07-01,1.4475,1.5475,0.8575
1998-10-01,1.8425,1.5075,0.75
1999-01-01,1.9575,1.3075,0.7725
1999-04-01,1.915,1.245,0.66
1999-07-01,1.8475,1.175,0.5925
1999-10-01,1.55,1.485,0.5275
2000-01-01,1.615,1.81,0.47
2000-04-01,1.19,1.825,0.4125
2000-07-01,1.1525,1.765,0.28
2000-10-01,0.945,1.3875,0.435
2001-01-01,0.6425,0.9275,0.4325
2001-04-01,0.5725,0.665,0.3575
2001-07-01,0.4925,0.3975,0.4075
2001-10-01,1.13,0.45,0.17
2002-01-01,1.0325,0.5775,0.19
2002-04-01,1.0325,0.6925,0.3275
2002-07-01,1.155,0.815,0.305
2002-10-01,0.4025,0.7925,0.5075
2003-01-01,0.5725,0.725,0.525
2003-04-01,1.025,0.75,0.4525
2003-07-01,1.405,0.8875,0.735
2003-10-01,1.53,0.83,0.845
2004-01-01,1.6725,0.935,0.8725
2004-04-01,1.2425,0.9525,0.9875
2004-07-01,0.9075,1.0375,0.8
2004-10-01,1.01,1.1475,0.8025
2005-01-01,0.925,0.9925,0.9275
2005-04-01,1.1875,0.98,0.975
2005-07-01,1.08,0.8625,0.99
2005-10-01,0.7075,0.8,0.675
2006-01-01,1.0075,0.97,0.2875
2006-04-01,0.695,0.9275,-0.2025
2006-07-01,0.675,0.83,-0.63
2006-10-01,1.0575,0.9875,-0.8975
2007-01-01,0.7375,0.84,-0.9225
2007-04-01,0.76,0.725,-0.865
2007-07-01,0.7,0.7925,-0.825
2007-10-01,0.415,0.6,-0.8475
2008-01-01,-0.135,0.55,-0.855
2008-04-01,-0.225,0.6375,-0.815
2008-07-01,-0.8525,0.42,-0.7975
2008-10-01,-1.565,0.2425,-0.6875
2009-01-01,-1.1675,0.0225,-0.8775
2009-04-01,-1.27,-0.2775,-0.98
2009-07-01,-0.4025,-0.2125,-0.6275
2009-10-01,0.1475,-0.2775,-0.285
2010-01-01,0.2975,-0.03,0.0675
2010-04-01,0.7325,0.36,0.475
2010-07-01,0.51,0.535,0.1825
2010-10-01,0.9325,0.67,0.1575
2011-01-01,0.8825,0.75,0.08
2011-04-01,0.5,0.665,-0.095
2011-07-01,0.3425,0.58,0.145
2011-10-01,0.2025,0.53,0.0625
2012-01-01,0.375,0.64,0.165
2012-04-01,0.455,0.4875,0.2775
2012-07-01,0.545,0.335,0.295
2012-10-01,0.54,0.475,0.385
2013-01-01,0.64,0.0475,0.5425
2013-04-01,0.66,0.1375,0.49
2013-07-01,0.7225,0.2625,0.4075
2013-10-01,0.7675,0.3625,0.3375
2014-01-01,0.525,0.5175,0.1825
2014-04-01,0.905,0.735,0.1175
2014-07-01,1,1.0875,0.075
2014-10-01,1.0875,1.2275,0.225
2015-01-01,1.205,1.325,0.2975
2015-04-01,1.035,1.3,0.3
2015-07-01,1.0225,1.0775,0.425
2015-10-01,0.8125,0.9675,0.2825
2016-01-01,0.765,1.065,0.3225
2016-04-01,0.7225,0.88,0.3575
2016-07-01,0.69,0.7825,0.26
2016-10-01,0.7225,0.76,0.2275
2017-01-01,0.685,0.8975,0.0925
2017-04-01,0.7225,0.7375,0.175
2017-07-01,0.76,0.7525,0.14
2017-10-01,1.0925,0.7025,0.29
2018-01-01,0.975,0.6875,0.24
2018-04-01,0.915,1.025,0.195
2018-07-01,0.8475,1.09,0.1825
2018-10-01,0.57,0.93,0.02
2019-01-01,0.5125,0.63,0.03
2019-04-01,0.6275,0.51,-0.015
2019-07-01,0.7425,0.4825,0.125
2019-10-01,0.715,0.65,0.1625
2020-01-01,0.71,-0.42,0.29
2020-04-01,-0.085,-5.975,0.085
2020-07-01,2.3325,-2.3325,0.5575
2020-10-01,2.205,-1.9475,0.87
2021-01-01,3.525,-0.57,0.95
2021-04-01,4.705,6.11,1.055
2021-07-01,1.5025,3.2025,0.4475
2021-10-01,1.625,3.0125,0.0775
2022-01-01,0.305,2.7825,-0.055
2022-04-01,-0.51,1.965,-0.21
2022-07-01,-0.04,1.44,-0.545
2022-10-01,-0.18,1.1475,-0.755
2023-01-01,0.16,1.3875,-0.87
