date,Total,Discretionary,National Defense,Non- defense,Mandatory Total,MP Total,MP Social Security,MP Medicare,MP Medicaid,MP Other Means  Tested Entitlements (1),MP Other,Mandatory Undistributed Offsetting Receipts (2),Net Interest,Mandatory
1989,100,42.7,26.6,16.2,42.5,46.4,20.1,7.2,3.0,4.4,11.5,-3.9,14.8,57.3
1990,100,40.0,24.0,16.0,45.3,48.3,19.7,7.6,3.3,4.4,13.3,-2.9,14.7,60.0
1991,100,40.3,24.1,16.1,45.0,48.0,20.1,7.7,4.0,4.9,11.3,-3.0,14.7,59.7
1992,100,38.6,21.9,16.7,46.9,49.8,20.6,8.4,4.9,5.5,10.3,-2.8,14.4,61.4
1993,100,38.3,20.7,17.5,47.6,50.3,21.4,9.1,5.4,5.9,8.5,-2.7,14.1,61.7
1994,100,37.0,19.3,17.7,49.1,51.7,21.7,9.7,5.6,6.2,8.4,-2.6,13.9,63.0
1995,100,35.9,18.0,17.9,48.7,51.7,22.0,10.4,5.9,6.3,7.1,-2.9,15.3,64.1
1996,100,34.1,17.0,17.1,50.4,52.8,22.2,11,5.9,6.4,7.4,-2.4,15.4,65.9
1997,100,34.2,17.0,17.2,50.6,53.7,22.6,11.7,6.0,6.4,7.0,-3.1,15.2,65.8
1998,100,33.4,16.4,17.1,52.0,54.9,22.8,11.5,6.1,6.3,8.2,-2.9,14.6,66.6
1999,100,33.6,16.2,17.4,52.9,55.3,22.7,11,6.3,6.4,8.7,-2.4,13.5,66.4
2000,100,34.4,16.5,17.9,53.2,55.6,22.7,10.9,6.6,6.4,9.0,-2.4,12.5,65.6
2001,100,34.8,16.4,18.4,54.1,56.6,23.0,11.5,6.9,6.4,8.7,-2.5,11.1,65.2
2002,100,36.5,17.4,19.1,55.0,57.4,22.5,11.3,7.3,6.6,9.6,-2.4,8.5,63.5
2003,100,38.2,18.7,19.4,54.7,57.3,21.8,11.4,7.4,6.8,9.9,-2.5,7.1,61.8
2004,100,39.0,19.8,19.2,54.0,56.5,21.4,11.6,7.7,6.7,9.2,-2.6,7.0,61.0
2005,100,39.2,20.0,19.2,53.4,56.0,21.0,11.9,7.4,6.9,8.9,-2.6,7.4,60.8
2006,100,38.3,19.6,18.7,53.2,55.7,20.5,12.2,6.8,6.5,9.7,-2.6,8.5,61.7
2007,100,38.2,20.1,18.1,53.1,56.2,21.3,13.6,7.0,6.5,7.8,-3.0,8.7,61.8
2008,100,38.1,20.5,17.5,53.5,56.4,20.5,12.9,6.8,7.5,8.6,-2.9,8.5,61.9
2009,100,35.2,18.7,16.5,59.5,62.1,19.3,12.1,7.1,6.8,16.8,-2.6,5.3,64.8
2010,100,39.0,19.9,19.0,55.4,57.7,20.3,12.9,7.9,8.4,8.3,-2.4,5.7,61.0
2011,100,37.4,19.4,18.0,56.2,58.7,20.1,13.3,7.6,8.6,9.0,-2.5,6.4,62.6
2012,100,36.2,19.0,17.2,57.6,60.5,21.8,13.2,7.1,8.0,10.4,-2.9,6.2,63.8
2013,100,34.8,18.1,16.7,58.8,61.5,23.4,14.2,7.7,8.6,7.6,-2.7,6.4,65.2
2014,100,33.6,17.0,16.6,59.8,62.4,24.1,14.4,8.6,8.6,6.7,-2.5,6.5,66.4
2015,100,31.7,15.8,15.9,62.2,65.3,23.9,14.6,9.5,8.6,8.8,-3.1,6.0,68.3
2016,100,30.8,15.2,15.6,63.0,65.5,23.6,15.3,9.6,8.4,8.6,-2.5,6.2,69.2
2017,100,30.1,14.8,15.3,63.3,65.5,23.6,14.9,9.4,8.2,9.5,-2.3,6.6,69.9
2018,100,30.7,15.2,15.5,61.4,63.8,23.9,14.2,9.5,7.9,8.3,-2.4,7.9,69.3
2019,100,30.1,15.2,14.9,61.5,63.7,23.4,14.5,9.2,7.7,8.9,-2.2,8.4,69.9
2020,100,24.8,10.9,13.9,69.9,71.5,16.6,11.7,7.0,9.8,26.4,-1.6,5.3,75.2
2021,100,24.0,10.9,13.1,70.9,72.7,16.5,10.1,7.6,15.6,22.8,-1.8,5.2,76.0
2022 estimate,100,29.0,13.1,15.9,64.9,68.9,20.7,12.9,9.6,10.0,15.7,-4.0,6.1,71.0
2023 estimate,100,29.5,13.7,15.8,63.7,65.8,22.7,14.6,9.3,7.0,12.3,-2.2,6.8,70.5
2024 estimate,100,30.4,13.5,16.8,61.8,64.1,23.0,14,9.3,6.8,10.9,-2.3,7.8,69.6
2025 estimate,100,28.8,13.1,15.8,62.3,64.6,23.1,15.2,9.3,6.7,10.2,-2.3,8.8,71.2
2026 estimate,100,27.7,12.5,15.1,62.7,64.9,23.3,15.9,9.4,6.5,9.8,-2.2,9.6,72.3
2027 estimate,100,26.7,12.1,14.6,63.0,65.3,23.6,16.4,9.4,6.3,9.6,-2.3,10.3,73.3
